viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,faster_rcnn,0.9966250658035278,1,0.9634209275245667
1,1,-15,8,faster_rcnn,0.9969622492790222,1,0.9554556608200073
2,2,-15,8,faster_rcnn,0.9959916472434998,1,0.9472364187240601
3,3,-15,8,faster_rcnn,0.9954550266265869,1,0.9434807896614075
4,4,-15,8,faster_rcnn,0.9972823858261108,1,0.9583257436752319
5,5,-15,8,faster_rcnn,0.9970408082008362,1,0.9539058804512024
6,6,-15,8,faster_rcnn,0.9973364472389221,1,0.9506046175956726
7,7,-15,8,faster_rcnn,0.9974370002746582,1,0.9159589409828186
8,8,-15,8,faster_rcnn,0.9971215128898621,1,0.9134746789932251
9,9,-15,8,faster_rcnn,0.9973656535148621,1,0.9151430726051331
10,10,-15,8,faster_rcnn,0.9981441497802734,1,0.9241365194320679
11,11,-15,8,faster_rcnn,0.9979985356330872,1,0.9454736113548279
12,12,-15,8,faster_rcnn,0.9981575608253479,1,0.9519612789154053
13,13,-15,8,faster_rcnn,0.9976356029510498,1,0.9403908848762512
14,14,-15,8,faster_rcnn,0.9975797533988953,1,0.9358170032501221
15,15,-15,8,faster_rcnn,0.9976275563240051,1,0.9409816861152649
16,16,-15,8,faster_rcnn,0.9969242215156555,1,0.9361380338668823
17,17,-15,8,faster_rcnn,0.9970362186431885,1,0.9367812275886536
18,18,-15,8,faster_rcnn,0.9974125027656555,1,0.9371605515480042
19,19,-15,8,faster_rcnn,0.996722400188446,1,0.9543743133544922
20,20,-15,8,faster_rcnn,0.9960695505142212,1,0.9322890639305115
21,21,-15,8,faster_rcnn,0.9966642260551453,1,0.9428629875183105
22,22,-15,8,faster_rcnn,0.9972259402275085,1,0.9454048871994019
23,23,-15,8,faster_rcnn,0.9973888993263245,1,0.9428523182868958
24,24,-15,8,faster_rcnn,0.9967447519302368,1,0.9326675534248352
25,25,-15,8,faster_rcnn,0.9934938549995422,1,0.9259812235832214
26,26,-15,8,faster_rcnn,0.993782103061676,1,0.941582977771759
27,27,-15,8,faster_rcnn,0.98954176902771,1,0.9425488710403442
28,28,-15,8,faster_rcnn,0.9899485111236572,1,0.9500263929367065
29,29,-15,8,faster_rcnn,0.9928299784660339,1,0.938097357749939
30,30,-15,8,faster_rcnn,0.9853017926216125,1,0.9508284330368042
31,31,-15,8,faster_rcnn,0.9892404675483704,1,0.9496968984603882
32,32,-15,8,faster_rcnn,0.9938331842422485,1,0.9487839341163635
33,33,-15,8,faster_rcnn,0.9934693574905396,1,0.9463480710983276
34,34,-15,8,faster_rcnn,0.9861212372779846,1,0.9595123529434204
35,35,-15,8,faster_rcnn,0.9795342683792114,1,0.9698605537414551
36,36,-15,8,faster_rcnn,0.9859797358512878,1,0.9612318277359009
37,37,-15,8,faster_rcnn,0.9870773553848267,1,0.955621063709259
38,38,-15,8,faster_rcnn,0.9869035482406616,1,0.9320271611213684
39,39,-15,8,faster_rcnn,0.9817731976509094,1,0.9839539527893066
40,40,-15,8,faster_rcnn,0.9814115166664124,1,0.970919668674469
41,41,-15,8,faster_rcnn,0.9732130765914917,1,0.9653468728065491
42,42,-15,8,faster_rcnn,0.9814994931221008,1,0.954007625579834
43,43,-15,8,faster_rcnn,0.9834067225456238,1,0.9396846890449524
44,44,-15,8,faster_rcnn,0.9763508439064026,1,0.9555692076683044
45,45,-15,8,faster_rcnn,0.973612368106842,1,0.9238695502281189
46,46,-15,8,faster_rcnn,0.9624282121658325,1,0.9097241163253784
47,47,-15,8,faster_rcnn,0.9505367875099182,2,0.9467425346374512
48,48,-15,8,faster_rcnn,0.9456223249435425,1,0.9116313457489014
49,49,-15,8,faster_rcnn,0.9553849101066589,1,0.9415474534034729
50,50,-15,8,faster_rcnn,0.9681487083435059,1,0.9451866745948792
51,51,-15,8,faster_rcnn,0.9557925462722778,1,0.9415899515151978
52,52,-15,8,faster_rcnn,0.9714037775993347,1,0.964387059211731
53,53,-15,8,faster_rcnn,0.9667937159538269,1,0.9423945546150208
54,54,-15,8,faster_rcnn,0.9742950201034546,1,0.9497340321540833
55,55,-15,8,faster_rcnn,0.9718419313430786,1,0.9400385022163391
56,56,-15,8,faster_rcnn,0.968784511089325,1,0.9520816802978516
57,57,-15,8,faster_rcnn,0.9584038257598877,1,0.9651615023612976
58,58,-15,8,faster_rcnn,0.9611053466796875,1,0.9691393971443176
59,59,-15,8,faster_rcnn,0.8616034984588623,1,0.9709707498550415
60,60,-15,8,faster_rcnn,0.8972724080085754,1,0.9778435230255127
61,61,-15,8,faster_rcnn,0.9128808379173279,1,0.9474414587020874
62,62,-15,8,faster_rcnn,0.9097369313240051,1,0.9607763290405273
63,63,-15,8,faster_rcnn,0.8982964158058167,1,0.9728826284408569
64,64,-15,8,faster_rcnn,0.9411349892616272,1,0.9350411891937256
65,65,-15,8,faster_rcnn,0.9242227673530579,1,0.9534597396850586
66,66,-15,8,faster_rcnn,0.9214523434638977,1,0.9549604058265686
67,67,-15,8,faster_rcnn,0.847830057144165,1,0.9458650350570679
