viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,mask_rcnn,0.9946585297584534,1,0.9336668252944946
1,1,-15,8,mask_rcnn,0.9958996176719666,1,0.931580126285553
2,2,-15,8,mask_rcnn,0.994196891784668,1,0.9414651989936829
3,3,-15,8,mask_rcnn,0.9957746863365173,1,0.9498670101165771
4,4,-15,8,mask_rcnn,0.9968451261520386,1,0.9502248764038086
5,5,-15,8,mask_rcnn,0.997055172920227,1,0.9601160883903503
6,6,-15,8,mask_rcnn,0.9983483552932739,1,0.9642071723937988
7,7,-15,8,mask_rcnn,0.9988275170326233,1,0.961447536945343
8,8,-15,8,mask_rcnn,0.997944176197052,1,0.9630963802337646
9,9,-15,8,mask_rcnn,0.9970701932907104,1,0.9668459296226501
10,10,-15,8,mask_rcnn,0.9978395700454712,1,0.9368520975112915
11,11,-15,8,mask_rcnn,0.9977085590362549,1,0.9377779364585876
12,12,-15,8,mask_rcnn,0.9982337951660156,1,0.9481362700462341
13,13,-15,8,mask_rcnn,0.9972865581512451,1,0.9086833000183105
14,14,-15,8,mask_rcnn,0.9981315732002258,1,0.9529580473899841
15,15,-15,8,mask_rcnn,0.99729984998703,1,0.9574286937713623
16,16,-15,8,mask_rcnn,0.9965934157371521,1,0.9439666867256165
17,17,-15,8,mask_rcnn,0.9963406920433044,1,0.9354589581489563
18,18,-15,8,mask_rcnn,0.9964669942855835,1,0.915650486946106
19,19,-15,8,mask_rcnn,0.9956328272819519,1,0.9100164175033569
20,20,-15,8,mask_rcnn,0.995458722114563,1,0.9106335639953613
21,21,-15,8,mask_rcnn,0.9955174326896667,1,0.9179937839508057
22,22,-15,8,mask_rcnn,0.995815098285675,1,0.9215765595436096
23,23,-15,8,mask_rcnn,0.9936590790748596,1,0.9227100014686584
24,24,-15,8,mask_rcnn,0.9917916059494019,1,0.9631332159042358
25,25,-15,8,mask_rcnn,0.9925975799560547,1,0.9366593956947327
26,26,-15,8,mask_rcnn,0.9931373596191406,1,0.9530633687973022
27,27,-15,8,mask_rcnn,0.9919224977493286,1,0.9490776062011719
28,28,-15,8,mask_rcnn,0.9937908053398132,1,0.9371777176856995
29,29,-15,8,mask_rcnn,0.9941608309745789,1,0.9692313075065613
30,30,-15,8,mask_rcnn,0.9883334040641785,1,0.9636490941047668
31,31,-15,8,mask_rcnn,0.9892281293869019,1,0.9521949291229248
32,32,-15,8,mask_rcnn,0.9926735758781433,1,0.9496553540229797
33,33,-15,8,mask_rcnn,0.9902685880661011,1,0.9435699582099915
34,34,-15,8,mask_rcnn,0.9807544946670532,1,0.9425317049026489
35,35,-15,8,mask_rcnn,0.9934993982315063,1,0.940113365650177
36,36,-15,8,mask_rcnn,0.9903524518013,1,0.9318287372589111
37,37,-15,8,mask_rcnn,0.992635190486908,1,0.919154942035675
38,38,-15,8,mask_rcnn,0.9900069236755371,1,0.9081535339355469
39,39,-15,8,mask_rcnn,0.9923704862594604,1,0.9085617661476135
40,40,-15,8,mask_rcnn,0.9921750426292419,1,0.9042770266532898
41,41,-15,8,mask_rcnn,0.982203483581543,1,0.9308396577835083
42,42,-15,8,mask_rcnn,0.9903634190559387,1,0.922650933265686
43,43,-15,8,mask_rcnn,0.9913091659545898,1,0.9251661896705627
44,44,-15,8,mask_rcnn,0.9942043423652649,1,0.911868691444397
45,45,-15,8,mask_rcnn,0.9924198985099792,1,0.9127355813980103
46,46,-15,8,mask_rcnn,0.9822900891304016,1,0.9452993869781494
47,47,-15,8,mask_rcnn,0.9649999141693115,1,0.9361316561698914
48,48,-15,8,mask_rcnn,0.9191800355911255,1,0.888502836227417
49,49,-15,8,mask_rcnn,0.9515224695205688,1,0.9217085838317871
