viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,yolov5s,0.6625210046768188,1,0.9356103539466858
1,1,-15,8,yolov5s,0.6883360743522644,1,0.9292323589324951
2,2,-15,8,yolov5s,0.6765119433403015,1,0.9453702569007874
3,3,-15,8,yolov5s,0.6410229206085205,1,0.951761782169342
4,4,-15,8,yolov5s,0.6048239469528198,1,0.9438499212265015
5,5,-15,8,yolov5s,0.6403830647468567,1,0.9446024894714355
6,6,-15,8,yolov5s,0.41815611720085144,1,0.9411411285400391
7,7,-15,8,yolov5s,0.6089141368865967,1,0.9460631608963013
8,8,-15,8,yolov5s,0.7277023792266846,1,0.9305791258811951
9,9,-15,8,yolov5s,0.7230862975120544,1,0.929857611656189
10,10,-15,8,yolov5s,0.6871294379234314,1,0.9588466286659241
11,11,-15,8,yolov5s,0.6699551343917847,1,0.93841552734375
12,12,-15,8,yolov5s,0.7073224186897278,1,0.9202476739883423
13,13,-15,8,yolov5s,0.7367348074913025,1,0.9278432130813599
14,14,-15,8,yolov5s,0.6836720108985901,1,0.9395300149917603
15,15,-15,8,yolov5s,0.49483394622802734,1,0.9549049735069275
16,16,-15,8,yolov5s,0.595603346824646,1,0.9485676288604736
17,17,-15,8,yolov5s,0.4382046163082123,1,0.954993486404419
18,18,-15,8,yolov5s,0.6568547487258911,1,0.9394843578338623
19,19,-15,8,yolov5s,0.5716589689254761,1,0.9266703128814697
20,20,-15,8,yolov5s,0.5944200754165649,1,0.931294322013855
21,21,-15,8,yolov5s,0.5224811434745789,1,0.9225027561187744
22,22,-15,8,yolov5s,0.5065912008285522,1,0.9309031367301941
23,23,-15,8,yolov5s,0.500697672367096,1,0.9217780232429504
24,24,-15,8,yolov5s,0.0,0,0.0
25,25,-15,8,yolov5s,0.0,0,0.0
26,26,-15,8,yolov5s,0.0,0,0.0
27,27,-15,8,yolov5s,0.0,0,0.0
28,28,-15,8,yolov5s,0.0,0,0.0
29,29,-15,8,yolov5s,0.471508264541626,1,0.9261117577552795
30,30,-15,8,yolov5s,0.35753965377807617,1,0.9251680970191956
31,31,-15,8,yolov5s,0.4458683729171753,1,0.9297866225242615
32,32,-15,8,yolov5s,0.5564292669296265,1,0.9249719381332397
33,33,-15,8,yolov5s,0.0,0,0.0
34,34,-15,8,yolov5s,0.0,0,0.0
35,35,-15,8,yolov5s,0.35534194111824036,1,0.9416285157203674
36,36,-15,8,yolov5s,0.28178641200065613,1,0.9253761172294617
37,37,-15,8,yolov5s,0.0,0,0.0
38,38,-15,8,yolov5s,0.0,0,0.0
39,39,-15,8,yolov5s,0.0,0,0.0
40,40,-15,8,yolov5s,0.0,0,0.0
41,41,-15,8,yolov5s,0.5480391383171082,1,0.9432467818260193
42,42,-15,8,yolov5s,0.5131107568740845,1,0.9453885555267334
43,43,-15,8,yolov5s,0.0,0,0.0
44,44,-15,8,yolov5s,0.0,0,0.0
45,45,-15,8,yolov5s,0.0,0,0.0
46,46,-15,8,yolov5s,0.0,0,0.0
47,47,-15,8,yolov5s,0.0,0,0.0
