viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,yolov5l,0.9285075664520264,1,0.9480480551719666
1,1,-15,8,yolov5l,0.9303355813026428,1,0.9500700831413269
2,2,-15,8,yolov5l,0.9355746507644653,1,0.9610168933868408
3,3,-15,8,yolov5l,0.9360425472259521,1,0.98038250207901
4,4,-15,8,yolov5l,0.9334060549736023,1,0.9754866361618042
5,5,-15,8,yolov5l,0.9320759177207947,1,0.9830201268196106
6,6,-15,8,yolov5l,0.9387133717536926,1,0.983550488948822
7,7,-15,8,yolov5l,0.9420939683914185,1,0.9860085248947144
8,8,-15,8,yolov5l,0.9419121146202087,1,0.9809698462486267
9,9,-15,8,yolov5l,0.9408707618713379,1,0.9813759326934814
10,10,-15,8,yolov5l,0.9445642232894897,1,0.9791443347930908
11,11,-15,8,yolov5l,0.944829523563385,1,0.9678966999053955
12,12,-15,8,yolov5l,0.9459041953086853,1,0.962904155254364
13,13,-15,8,yolov5l,0.9478946328163147,1,0.9593432545661926
14,14,-15,8,yolov5l,0.9469186067581177,1,0.9645326137542725
15,15,-15,8,yolov5l,0.9463210701942444,1,0.9600929021835327
16,16,-15,8,yolov5l,0.9497661590576172,1,0.9663057923316956
17,17,-15,8,yolov5l,0.9503647685050964,1,0.9687696099281311
18,18,-15,8,yolov5l,0.9501579999923706,1,0.9729496240615845
19,19,-15,8,yolov5l,0.9496819376945496,1,0.9716007113456726
20,20,-15,8,yolov5l,0.9510701894760132,1,0.9733259081840515
21,21,-15,8,yolov5l,0.9496636986732483,1,0.9789881706237793
22,22,-15,8,yolov5l,0.9507256746292114,1,0.9739595651626587
23,23,-15,8,yolov5l,0.9489171504974365,1,0.9779227375984192
24,24,-15,8,yolov5l,0.950010359287262,1,0.982699990272522
25,25,-15,8,yolov5l,0.9530550837516785,1,0.9856962561607361
26,26,-15,8,yolov5l,0.9493287205696106,1,0.9807961583137512
27,27,-15,8,yolov5l,0.9494982957839966,1,0.9776005148887634
28,28,-15,8,yolov5l,0.9507510662078857,1,0.9790118336677551
29,29,-15,8,yolov5l,0.9490053057670593,1,0.9826061725616455
30,30,-15,8,yolov5l,0.950279951095581,1,0.988132894039154
31,31,-15,8,yolov5l,0.9526258111000061,1,0.9849086403846741
32,32,-15,8,yolov5l,0.9533494114875793,1,0.9911001324653625
33,33,-15,8,yolov5l,0.9554262757301331,1,0.9916625022888184
34,34,-15,8,yolov5l,0.957551896572113,1,0.9878143072128296
35,35,-15,8,yolov5l,0.956638514995575,1,0.9893088936805725
36,36,-15,8,yolov5l,0.9562340974807739,1,0.9824340343475342
37,37,-15,8,yolov5l,0.9580094218254089,1,0.9806613326072693
38,38,-15,8,yolov5l,0.9574699401855469,1,0.9854696393013
39,39,-15,8,yolov5l,0.9553359746932983,1,0.9838619828224182
40,40,-15,8,yolov5l,0.9549200534820557,1,0.987238883972168
41,41,-15,8,yolov5l,0.9545211791992188,1,0.9925183057785034
42,42,-15,8,yolov5l,0.9531825184822083,1,0.9899176955223083
43,43,-15,8,yolov5l,0.956225574016571,1,0.9916389584541321
44,44,-15,8,yolov5l,0.9558551907539368,1,0.9906220436096191
45,45,-15,8,yolov5l,0.9563186168670654,1,0.9832891821861267
46,46,-15,8,yolov5l,0.9538823962211609,1,0.9825366735458374
47,47,-15,8,yolov5l,0.9530423283576965,1,0.9801556468009949
48,48,-15,8,yolov5l,0.9556385278701782,1,0.9738016724586487
49,49,-15,8,yolov5l,0.9575514793395996,1,0.9796973466873169
50,50,-15,8,yolov5l,0.9602656364440918,1,0.9769136905670166
51,51,-15,8,yolov5l,0.9590433239936829,1,0.9686737656593323
52,52,-15,8,yolov5l,0.9590017199516296,1,0.9673882722854614
