viewpoint,yaw,pitch,distance,max_conf_carla,num_detections,iou
0,0,-15,8,0.7096105217933655,59,0.9077271819114685
1,1,-15,8,0.7266724705696106,63,0.9252824783325195
2,2,-15,8,0.79893559217453,69,0.9402682185173035
3,3,-15,8,0.8157060146331787,66,0.9567839503288269
4,4,-15,8,0.8093461990356445,68,0.9479080438613892
5,5,-15,8,0.8141257166862488,65,0.9611707329750061
6,6,-15,8,0.8196003437042236,69,0.9542801380157471
7,7,-15,8,0.8096494674682617,61,0.9660927057266235
8,8,-15,8,0.7353960275650024,62,0.9679095149040222
9,9,-15,8,0.7987626791000366,70,0.9700692296028137
10,10,-15,8,0.8113362193107605,72,0.9627045392990112
11,11,-15,8,0.8346216082572937,70,0.9542064070701599
12,12,-15,8,0.8445422649383545,69,0.9658721685409546
13,13,-15,8,0.8372252583503723,67,0.9635801911354065
14,14,-15,8,0.8250024318695068,70,0.9492019414901733
15,15,-15,8,0.8149919509887695,81,0.9401773810386658
16,16,-15,8,0.7803858518600464,84,0.9474566578865051
17,17,-15,8,0.7780628204345703,81,0.9606072902679443
18,18,-15,8,0.7454168796539307,78,0.9589067101478577
19,19,-15,8,0.7543794512748718,80,0.9516446590423584
20,20,-15,8,0.6669477820396423,81,0.9447453022003174
21,21,-15,8,0.5767397284507751,75,0.9368080496788025
22,22,-15,8,0.4699772596359253,64,0.9344847798347473
23,23,-15,8,0.4598359167575836,67,0.9338788390159607
24,24,-15,8,0.4704066812992096,70,0.9370096921920776
25,25,-15,8,0.2207331359386444,52,0.9396374821662903
26,26,-15,8,0.3378922939300537,58,0.922460675239563
27,27,-15,8,0.20861105620861053,53,0.9063010811805725
28,28,-15,8,0.25504469871520996,59,0.9247425198554993
29,29,-15,8,0.1680968850851059,46,0.939682126045227
30,30,-15,8,0.1573621928691864,52,0.9323023557662964
31,31,-15,8,0.29071563482284546,68,0.9370746612548828
32,32,-15,8,0.27397608757019043,65,0.9372347593307495
33,33,-15,8,0.3713400661945343,70,0.921320915222168
34,34,-15,8,0.5179563760757446,78,0.9579557180404663
35,35,-15,8,0.34900423884391785,67,0.9471186399459839
36,36,-15,8,0.5309872031211853,73,0.9558891654014587
37,37,-15,8,0.6944040656089783,74,0.9513868689537048
38,38,-15,8,0.6611281633377075,78,0.9631894826889038
39,39,-15,8,0.6654107570648193,77,0.9615938663482666
40,40,-15,8,0.6204108595848083,78,0.9651861786842346
41,41,-15,8,0.7683095335960388,83,0.9534540176391602
42,42,-15,8,0.7816591262817383,81,0.9606320261955261
43,43,-15,8,0.76914381980896,78,0.950697660446167
44,44,-15,8,0.7667516469955444,78,0.9509144425392151
45,45,-15,8,0.7398415207862854,78,0.9429237842559814
46,46,-15,8,0.8111665844917297,78,0.9460945129394531
47,47,-15,8,0.7843857407569885,74,0.9501947164535522
48,48,-15,8,0.4575559198856354,56,0.948518693447113
49,49,-15,8,0.37564289569854736,54,0.9608820080757141
50,50,-15,8,0.5808942317962646,56,0.9587448835372925
51,51,-15,8,0.6902436017990112,62,0.9549188613891602
52,52,-15,8,0.19505779445171356,37,0.9338005781173706
53,53,-15,8,0.2526523172855377,38,0.9361016154289246
54,54,-15,8,0.1905316710472107,39,0.9336702227592468
55,55,-15,8,0.11569204181432724,32,0.9667024612426758
56,56,-15,8,0.09921950846910477,30,0.9590525031089783
57,57,-15,8,0.12570254504680634,32,0.9658381342887878
58,58,-15,8,0.10345061123371124,27,0.9612746238708496
59,59,-15,8,0.07513947784900665,29,0.9714208841323853
60,60,-15,8,0.05642186105251312,22,0.9702817797660828
61,61,-15,8,0.03979026898741722,6,0.9607394337654114
62,62,-15,8,0.04002843424677849,8,0.9825175404548645
63,63,-15,8,0.0428500659763813,12,0.9614992737770081
64,64,-15,8,0.036529336124658585,4,0.9305243492126465
65,65,-15,8,0.03553096204996109,3,0.9621984958648682
66,66,-15,8,0.043121036142110825,3,0.9554463624954224
67,67,-15,8,0.038551561534404755,9,0.9722222685813904
68,68,-15,8,0.04269667714834213,6,0.9602051973342896
69,69,-15,8,0.05678250640630722,17,0.9576681852340698
70,70,-15,8,0.0492498055100441,5,0.9592609405517578
71,71,-15,8,0.04201095551252365,1,0.9004417061805725
72,72,-15,8,0.04563556984066963,3,0.9144218564033508
73,73,-15,8,0.05264553800225258,4,0.919942319393158
