viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,ssd,0.9416331648826599,14,0.8055749535560608
1,1,-15,8,ssd,0.9297745227813721,10,0.8264151215553284
2,2,-15,8,ssd,0.9321359395980835,7,0.8290868997573853
3,3,-15,8,ssd,0.930907130241394,8,0.8580017685890198
4,4,-15,8,ssd,0.9442768692970276,6,0.8276939988136292
5,5,-15,8,ssd,0.955547571182251,11,0.8253253698348999
6,6,-15,8,ssd,0.930901050567627,8,0.8350268602371216
7,7,-15,8,ssd,0.9405875205993652,11,0.8613531589508057
8,8,-15,8,ssd,0.9471869468688965,15,0.8765904903411865
9,9,-15,8,ssd,0.9458277821540833,10,0.882872462272644
10,10,-15,8,ssd,0.8706684112548828,6,0.8618396520614624
11,11,-15,8,ssd,0.7795403003692627,4,0.8551828265190125
12,12,-15,8,ssd,0.8067246079444885,8,0.8371242880821228
13,13,-15,8,ssd,0.7635966539382935,6,0.8216771483421326
14,14,-15,8,ssd,0.8303391337394714,11,0.844028115272522
15,15,-15,8,ssd,0.8444945812225342,12,0.8493163585662842
16,16,-15,8,ssd,0.8523975610733032,11,0.8362521529197693
17,17,-15,8,ssd,0.8970758318901062,12,0.8423796892166138
18,18,-15,8,ssd,0.8393717408180237,12,0.8351650834083557
19,19,-15,8,ssd,0.8499929904937744,17,0.854289174079895
20,20,-15,8,ssd,0.8214972019195557,13,0.8721023201942444
21,21,-15,8,ssd,0.889315128326416,16,0.8569119572639465
22,22,-15,8,ssd,0.8750789165496826,14,0.8548374772071838
23,23,-15,8,ssd,0.8635352849960327,16,0.8626127243041992
24,24,-15,8,ssd,0.7580077052116394,12,0.8825715184211731
25,25,-15,8,ssd,0.5429611206054688,8,0.8694333434104919
26,26,-15,8,ssd,0.5746920108795166,11,0.8803004026412964
27,27,-15,8,ssd,0.5660744905471802,7,0.8681437969207764
28,28,-15,8,ssd,0.465773344039917,6,0.853833019733429
29,29,-15,8,ssd,0.4398658275604248,2,0.8570287227630615
30,30,-15,8,ssd,0.6247522830963135,6,0.8907994031906128
31,31,-15,8,ssd,0.6982482671737671,10,0.9013046622276306
32,32,-15,8,ssd,0.7431999444961548,9,0.9042636752128601
33,33,-15,8,ssd,0.8357447981834412,14,0.8941320776939392
34,34,-15,8,ssd,0.8376270532608032,13,0.9033502340316772
35,35,-15,8,ssd,0.8679715991020203,11,0.8955883383750916
36,36,-15,8,ssd,0.8226048350334167,10,0.9153151512145996
37,37,-15,8,ssd,0.7781441807746887,9,0.9062365889549255
