viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,yolov5l,0.9240615367889404,1,0.9540606141090393
1,1,-15,8,yolov5l,0.9221987724304199,1,0.9619099497795105
2,2,-15,8,yolov5l,0.9198099374771118,1,0.9620717763900757
3,3,-15,8,yolov5l,0.9274263978004456,1,0.9580315947532654
4,4,-15,8,yolov5l,0.9250530004501343,1,0.9545163512229919
5,5,-15,8,yolov5l,0.9265429973602295,1,0.9709951281547546
6,6,-15,8,yolov5l,0.9286214113235474,1,0.9778717160224915
7,7,-15,8,yolov5l,0.9318796992301941,1,0.9759002923965454
8,8,-15,8,yolov5l,0.9347649216651917,1,0.9701332449913025
9,9,-15,8,yolov5l,0.9369505643844604,1,0.9756534695625305
10,10,-15,8,yolov5l,0.934179425239563,1,0.9733626246452332
11,11,-15,8,yolov5l,0.9321763515472412,1,0.9641888737678528
12,12,-15,8,yolov5l,0.9334813356399536,1,0.9576681852340698
13,13,-15,8,yolov5l,0.9351370334625244,1,0.9583317041397095
14,14,-15,8,yolov5l,0.9366440773010254,1,0.9581868648529053
15,15,-15,8,yolov5l,0.9381892085075378,1,0.9544342160224915
16,16,-15,8,yolov5l,0.9399963021278381,1,0.9648982286453247
17,17,-15,8,yolov5l,0.9391250610351562,1,0.9676756262779236
18,18,-15,8,yolov5l,0.9391258358955383,1,0.966702401638031
19,19,-15,8,yolov5l,0.9398826360702515,1,0.9644995331764221
20,20,-15,8,yolov5l,0.9397411346435547,1,0.9665970802307129
21,21,-15,8,yolov5l,0.9397200345993042,1,0.967900276184082
22,22,-15,8,yolov5l,0.9394282102584839,1,0.9684110283851624
23,23,-15,8,yolov5l,0.9416603446006775,1,0.9748919606208801
24,24,-15,8,yolov5l,0.9425193071365356,1,0.97690349817276
25,25,-15,8,yolov5l,0.9435018301010132,1,0.9750813245773315
26,26,-15,8,yolov5l,0.9436388611793518,1,0.9668691754341125
27,27,-15,8,yolov5l,0.9430304169654846,1,0.9672826528549194
28,28,-15,8,yolov5l,0.9427613615989685,1,0.965157687664032
29,29,-15,8,yolov5l,0.9433329701423645,1,0.973484218120575
30,30,-15,8,yolov5l,0.9435123801231384,1,0.978199303150177
31,31,-15,8,yolov5l,0.944089412689209,1,0.9834662675857544
32,32,-15,8,yolov5l,0.9436920285224915,1,0.9741709232330322
33,33,-15,8,yolov5l,0.9428387880325317,1,0.9807557463645935
34,34,-15,8,yolov5l,0.9426220655441284,1,0.9778390526771545
35,35,-15,8,yolov5l,0.9422510266304016,1,0.981905460357666
36,36,-15,8,yolov5l,0.9423669576644897,1,0.9686246514320374
37,37,-15,8,yolov5l,0.9427925944328308,1,0.9726395010948181
38,38,-15,8,yolov5l,0.9434677362442017,1,0.9784219264984131
39,39,-15,8,yolov5l,0.9429650902748108,1,0.9815331697463989
40,40,-15,8,yolov5l,0.9434256553649902,1,0.9859455823898315
41,41,-15,8,yolov5l,0.9430574774742126,1,0.9831843376159668
42,42,-15,8,yolov5l,0.9429519772529602,1,0.9852998852729797
43,43,-15,8,yolov5l,0.9435254335403442,1,0.9838049411773682
44,44,-15,8,yolov5l,0.9433759450912476,1,0.9872605204582214
45,45,-15,8,yolov5l,0.9419398307800293,1,0.9802624583244324
46,46,-15,8,yolov5l,0.9434382319450378,1,0.9843079447746277
47,47,-15,8,yolov5l,0.9429944753646851,1,0.9830570816993713
48,48,-15,8,yolov5l,0.94211745262146,1,0.9762617349624634
49,49,-15,8,yolov5l,0.9416003227233887,1,0.9834789037704468
50,50,-15,8,yolov5l,0.9405300617218018,1,0.9858103394508362
51,51,-15,8,yolov5l,0.935816764831543,1,0.9802886843681335
52,52,-15,8,yolov5l,0.9358732104301453,1,0.9832375049591064
53,53,-15,8,yolov5l,0.937731146812439,1,0.9750632643699646
54,54,-15,8,yolov5l,0.9408628940582275,1,0.9732527136802673
55,55,-15,8,yolov5l,0.9405871629714966,1,0.972130298614502
56,56,-15,8,yolov5l,0.941976010799408,1,0.9710232019424438
57,57,-15,8,yolov5l,0.9405249953269958,1,0.9790219068527222
58,58,-15,8,yolov5l,0.9405221343040466,1,0.977687418460846
59,59,-15,8,yolov5l,0.9393426179885864,1,0.9792576432228088
60,60,-15,8,yolov5l,0.9375494718551636,1,0.9828097820281982
61,61,-15,8,yolov5l,0.9340577721595764,1,0.9880334138870239
62,62,-15,8,yolov5l,0.9370535612106323,1,0.9757050275802612
63,63,-15,8,yolov5l,0.9375087022781372,1,0.9822278022766113
64,64,-15,8,yolov5l,0.9373766779899597,1,0.9776684641838074
