viewpoint,yaw,pitch,distance,max_conf_carla,num_detections,iou
0,0,-15,8,0.4246935546398163,7,0.8662952780723572
1,1,-15,8,0.6122813820838928,6,0.8747578859329224
2,2,-15,8,0.6551382541656494,5,0.8991460204124451
3,3,-15,8,0.5543254613876343,10,0.8944057822227478
4,4,-15,8,0.5997408032417297,10,0.8880564570426941
5,5,-15,8,0.5433577299118042,16,0.9165934324264526
6,6,-15,8,0.6160203814506531,16,0.9374573230743408
7,7,-15,8,0.6658517718315125,21,0.9729318022727966
8,8,-15,8,0.6371716856956482,28,0.9785628914833069
9,9,-15,8,0.5559167265892029,22,0.9608089327812195
10,10,-15,8,0.49398311972618103,19,0.9647709727287292
11,11,-15,8,0.612163245677948,24,0.9673138856887817
12,12,-15,8,0.594632089138031,24,0.9662162661552429
13,13,-15,8,0.5820954442024231,13,0.9660152792930603
14,14,-15,8,0.6079136729240417,16,0.9639015197753906
15,15,-15,8,0.5290139317512512,19,0.9708978533744812
16,16,-15,8,0.4965311586856842,22,0.9785305261611938
17,17,-15,8,0.619327962398529,21,0.9759200215339661
18,18,-15,8,0.5354280471801758,23,0.9613200426101685
19,19,-15,8,0.4535134434700012,13,0.9573384523391724
20,20,-15,8,0.36172863841056824,10,0.9452260732650757
21,21,-15,8,0.32298776507377625,11,0.941021203994751
22,22,-15,8,0.2508446276187897,7,0.9532135128974915
23,23,-15,8,0.2611880898475647,8,0.9557788372039795
24,24,-15,8,0.20860469341278076,8,0.9454704523086548
25,25,-15,8,0.15119056403636932,7,0.9468204975128174
26,26,-15,8,0.1147443875670433,5,0.9541709423065186
27,27,-15,8,0.11216290295124054,3,0.945179283618927
28,28,-15,8,0.10173359513282776,5,0.946173906326294
29,29,-15,8,0.05242356285452843,2,0.9583526849746704
30,30,-15,8,0.05916624516248703,3,0.9569590091705322
31,31,-15,8,0.051630087196826935,1,0.9489223957061768
32,32,-15,8,0.0667262151837349,3,0.942279577255249
33,33,-15,8,0.06607606261968613,2,0.9476931095123291
34,34,-15,8,0.06706320494413376,2,0.9268437623977661
35,35,-15,8,0.06371086835861206,2,0.9286397099494934
36,36,-15,8,0.05864415317773819,3,0.9339826703071594
37,37,-15,8,0.07631967216730118,2,0.9623978137969971
38,38,-15,8,0.0827612429857254,2,0.9510067105293274
39,39,-15,8,0.15416942536830902,3,0.9560140371322632
40,40,-15,8,0.09578758478164673,2,0.9568397998809814
41,41,-15,8,0.1147083044052124,2,0.9476702809333801
42,42,-15,8,0.11508113145828247,2,0.9466293454170227
43,43,-15,8,0.14574207365512848,2,0.9599812626838684
44,44,-15,8,0.14594605565071106,2,0.9472494125366211
