viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,mask_rcnn,0.9816458821296692,1,0.9485938549041748
1,1,-15,8,mask_rcnn,0.9829030632972717,1,0.9588555097579956
2,2,-15,8,mask_rcnn,0.9817401170730591,1,0.9560176730155945
3,3,-15,8,mask_rcnn,0.9800512790679932,1,0.93634033203125
4,4,-15,8,mask_rcnn,0.9928810596466064,1,0.9664911031723022
5,5,-15,8,mask_rcnn,0.995189905166626,1,0.9546842575073242
6,6,-15,8,mask_rcnn,0.994731068611145,1,0.9490014910697937
7,7,-15,8,mask_rcnn,0.9918604493141174,1,0.9576048254966736
8,8,-15,8,mask_rcnn,0.9917621612548828,1,0.9475662112236023
9,9,-15,8,mask_rcnn,0.995254635810852,1,0.9530318379402161
10,10,-15,8,mask_rcnn,0.9958645105361938,1,0.9562843441963196
11,11,-15,8,mask_rcnn,0.988723635673523,1,0.9368074536323547
12,12,-15,8,mask_rcnn,0.9969419836997986,1,0.9666997194290161
13,13,-15,8,mask_rcnn,0.9929774403572083,1,0.9448345303535461
14,14,-15,8,mask_rcnn,0.985837996006012,1,0.924164891242981
15,15,-15,8,mask_rcnn,0.981614887714386,1,0.9178968071937561
16,16,-15,8,mask_rcnn,0.9865140318870544,1,0.9043034911155701
17,17,-15,8,mask_rcnn,0.9724689722061157,1,0.9282681941986084
18,18,-15,8,mask_rcnn,0.9876178503036499,1,0.9347310066223145
19,19,-15,8,mask_rcnn,0.9819647669792175,1,0.9350717663764954
20,20,-15,8,mask_rcnn,0.9486350417137146,1,0.9075832962989807
21,21,-15,8,mask_rcnn,0.9626592397689819,1,0.9356358051300049
22,22,-15,8,mask_rcnn,0.9748274683952332,1,0.925666332244873
23,23,-15,8,mask_rcnn,0.9787535667419434,1,0.9406355023384094
24,24,-15,8,mask_rcnn,0.9481465220451355,1,0.9370712637901306
25,25,-15,8,mask_rcnn,0.9542185664176941,1,0.9530647993087769
26,26,-15,8,mask_rcnn,0.9051899313926697,1,0.9171446561813354
27,27,-15,8,mask_rcnn,0.9374538660049438,1,0.9372043609619141
28,28,-15,8,mask_rcnn,0.9588235020637512,1,0.9389877915382385
29,29,-15,8,mask_rcnn,0.9705360531806946,1,0.926609218120575
30,30,-15,8,mask_rcnn,0.9646101593971252,1,0.9150201678276062
31,31,-15,8,mask_rcnn,0.9801425933837891,1,0.9159113168716431
32,32,-15,8,mask_rcnn,0.9723303318023682,1,0.9451560974121094
33,33,-15,8,mask_rcnn,0.9602630138397217,1,0.9428905248641968
34,34,-15,8,mask_rcnn,0.9330030679702759,1,0.9307273030281067
35,35,-15,8,mask_rcnn,0.8237271904945374,1,0.9908596873283386
36,36,-15,8,mask_rcnn,0.6281442046165466,1,0.9512872695922852
37,37,-15,8,mask_rcnn,0.8093647360801697,1,0.9549849033355713
38,38,-15,8,mask_rcnn,0.735986590385437,1,0.9079146981239319
39,39,-15,8,mask_rcnn,0.6539443135261536,1,0.9091398119926453
40,40,-15,8,mask_rcnn,0.8645902276039124,1,0.9416102170944214
41,41,-15,8,mask_rcnn,0.8979389667510986,1,0.9664487242698669
42,42,-15,8,mask_rcnn,0.8970739841461182,1,0.9634991884231567
43,43,-15,8,mask_rcnn,0.9250813126564026,1,0.9633669257164001
44,44,-15,8,mask_rcnn,0.9695492386817932,1,0.9600975513458252
45,45,-15,8,mask_rcnn,0.8913594484329224,1,0.9813462495803833
46,46,-15,8,mask_rcnn,0.9362711906433105,1,0.9696457386016846
47,47,-15,8,mask_rcnn,0.9019728302955627,1,0.9486333727836609
48,48,-15,8,mask_rcnn,0.9694390892982483,1,0.9562163949012756
49,49,-15,8,mask_rcnn,0.9679591655731201,1,0.9620572924613953
50,50,-15,8,mask_rcnn,0.9862757921218872,1,0.9669515490531921
51,51,-15,8,mask_rcnn,0.9930942058563232,1,0.9828734993934631
52,52,-15,8,mask_rcnn,0.9905213117599487,1,0.9860367178916931
53,53,-15,8,mask_rcnn,0.9779552817344666,1,0.9688077569007874
54,54,-15,8,mask_rcnn,0.9676727652549744,1,0.9699798822402954
55,55,-15,8,mask_rcnn,0.9652581810951233,1,0.9639883637428284
56,56,-15,8,mask_rcnn,0.9834861755371094,1,0.960041344165802
57,57,-15,8,mask_rcnn,0.9744477868080139,1,0.9521071314811707
