viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,ssd,0.6558026075363159,2,0.8010446429252625
1,1,-15,8,ssd,0.7988649010658264,2,0.8200969099998474
2,2,-15,8,ssd,0.721402108669281,1,0.838840663433075
3,3,-15,8,ssd,0.7167102694511414,1,0.8747426271438599
4,4,-15,8,ssd,0.6288123726844788,1,0.8617895841598511
5,5,-15,8,ssd,0.641942024230957,2,0.8663874268531799
6,6,-15,8,ssd,0.7417188286781311,2,0.8873706459999084
7,7,-15,8,ssd,0.8076691627502441,3,0.8980202078819275
8,8,-15,8,ssd,0.7728623747825623,3,0.8737367391586304
9,9,-15,8,ssd,0.7017588019371033,2,0.895936131477356
10,10,-15,8,ssd,0.7627925872802734,6,0.9205875396728516
11,11,-15,8,ssd,0.8388587236404419,6,0.9301881790161133
12,12,-15,8,ssd,0.8184948563575745,3,0.9258435368537903
13,13,-15,8,ssd,0.7731782793998718,5,0.9153300523757935
14,14,-15,8,ssd,0.7362247109413147,4,0.9405227899551392
15,15,-15,8,ssd,0.668893039226532,4,0.9412506818771362
16,16,-15,8,ssd,0.7384946942329407,5,0.9168492555618286
17,17,-15,8,ssd,0.6314237117767334,4,0.8725563883781433
18,18,-15,8,ssd,0.49953681230545044,4,0.8760939836502075
19,19,-15,8,ssd,0.6115332245826721,2,0.918302059173584
20,20,-15,8,ssd,0.5264374017715454,4,0.9128265380859375
21,21,-15,8,ssd,0.5526889562606812,5,0.8916027545928955
22,22,-15,8,ssd,0.3385118842124939,1,0.9051414728164673
23,23,-15,8,ssd,0.3559620976448059,3,0.9096543788909912
24,24,-15,8,ssd,0.3953751027584076,4,0.9128713011741638
25,25,-15,8,ssd,0.3846573233604431,4,0.9147585034370422
26,26,-15,8,ssd,0.29773473739624023,6,0.9163047671318054
27,27,-15,8,ssd,0.3433822691440582,5,0.9268062710762024
28,28,-15,8,ssd,0.43075671792030334,5,0.9104909300804138
29,29,-15,8,ssd,0.34180474281311035,4,0.9002209901809692
30,30,-15,8,ssd,0.33703428506851196,2,0.8880595564842224
31,31,-15,8,ssd,0.3580586910247803,3,0.8902592658996582
32,32,-15,8,ssd,0.4170607030391693,3,0.9015146493911743
33,33,-15,8,ssd,0.3240765333175659,1,0.8810392618179321
34,34,-15,8,ssd,0.3014563322067261,2,0.9029637575149536
35,35,-15,8,ssd,0.3948912024497986,4,0.9070651531219482
36,36,-15,8,ssd,0.3192299008369446,2,0.8909403681755066
37,37,-15,8,ssd,0.29767292737960815,3,0.8866446614265442
38,38,-15,8,ssd,0.33485060930252075,1,0.8847920298576355
39,39,-15,8,ssd,0.21466907858848572,1,0.891404926776886
40,40,-15,8,ssd,0.33066195249557495,2,0.8737767934799194
41,41,-15,8,ssd,0.15528260171413422,1,0.8657063245773315
42,42,-15,8,ssd,0.3233702778816223,2,0.872607946395874
43,43,-15,8,ssd,0.1329701542854309,1,0.851639986038208
44,44,-15,8,ssd,0.1352507472038269,1,0.8404624462127686
45,45,-15,8,ssd,0.4299685060977936,1,0.8521727323532104
46,46,-15,8,ssd,0.637071967124939,3,0.8372706174850464
47,47,-15,8,ssd,0.4402257800102234,1,0.8660321831703186
48,48,-15,8,ssd,0.4226945638656616,2,0.8557756543159485
49,49,-15,8,ssd,0.4740270972251892,1,0.8676682114601135
50,50,-15,8,ssd,0.44423845410346985,3,0.8599792122840881
51,51,-15,8,ssd,0.42485687136650085,2,0.8519598245620728
52,52,-15,8,ssd,0.44768619537353516,1,0.868058443069458
53,53,-15,8,ssd,0.4584789574146271,2,0.8767598271369934
54,54,-15,8,ssd,0.29562926292419434,1,0.9228191375732422
55,55,-15,8,ssd,0.5040192604064941,1,0.9076589941978455
56,56,-15,8,ssd,0.5292336940765381,2,0.920991837978363
57,57,-15,8,ssd,0.2998167872428894,1,0.9252457618713379
58,58,-15,8,ssd,0.18965350091457367,1,0.9483751058578491
59,59,-15,8,ssd,0.1354331076145172,1,0.9328306913375854
60,60,-15,8,ssd,0.24846944212913513,1,0.9617890119552612
61,61,-15,8,ssd,0.3568494915962219,1,0.9551432132720947
62,62,-15,8,ssd,0.16013075411319733,1,0.9481701850891113
63,63,-15,8,ssd,0.1758302003145218,1,0.9481582045555115
64,64,-15,8,ssd,0.3442167639732361,1,0.9318363070487976
65,65,-15,8,ssd,0.16547802090644836,1,0.9240782856941223
66,66,-15,8,ssd,0.26867493987083435,1,0.9264383316040039
67,67,-15,8,ssd,0.08418285846710205,1,0.9523152112960815
68,68,-15,8,ssd,0.2484944462776184,1,0.919538140296936
69,69,-15,8,ssd,0.2033030390739441,1,0.9631968140602112
70,70,-15,8,ssd,0.12815509736537933,1,0.9610653519630432
71,71,-15,8,ssd,0.0633917823433876,1,0.9589349031448364
72,72,-15,8,ssd,0.11963009089231491,1,0.9348879456520081
73,73,-15,8,ssd,0.15478739142417908,1,0.9284871220588684
74,74,-15,8,ssd,0.22622807323932648,1,0.9114927649497986
75,75,-15,8,ssd,0.18948116898536682,1,0.9207039475440979
76,76,-15,8,ssd,0.24459661543369293,1,0.9207150340080261
77,77,-15,8,ssd,0.2979210317134857,1,0.9414179921150208
78,78,-15,8,ssd,0.3169902563095093,1,0.9340099096298218
79,79,-15,8,ssd,0.3979060649871826,2,0.9416266083717346
80,80,-15,8,ssd,0.4926791787147522,2,0.9206510186195374
81,81,-15,8,ssd,0.31025633215904236,1,0.9129066467285156
82,82,-15,8,ssd,0.3388398587703705,1,0.8992389440536499
83,83,-15,8,ssd,0.5163671374320984,2,0.8975317478179932
84,84,-15,8,ssd,0.507520854473114,1,0.8947765231132507
85,85,-15,8,ssd,0.5186811685562134,1,0.8958596587181091
86,86,-15,8,ssd,0.3980296850204468,1,0.8695233464241028
87,87,-15,8,ssd,0.2218041718006134,1,0.8560532927513123
88,88,-15,8,ssd,0.24770492315292358,1,0.889046847820282
89,89,-15,8,ssd,0.40532398223876953,1,0.9066903591156006
90,90,-15,8,ssd,0.444272518157959,1,0.9089376330375671
91,91,-15,8,ssd,0.4576861560344696,1,0.8935436606407166
92,92,-15,8,ssd,0.2938714325428009,1,0.8925428986549377
93,93,-15,8,ssd,0.3039754033088684,1,0.8912155032157898
94,94,-15,8,ssd,0.40329864621162415,1,0.910053014755249
95,95,-15,8,ssd,0.4399235248565674,1,0.9360111951828003
96,96,-15,8,ssd,0.19937705993652344,1,0.9299286603927612
97,97,-15,8,ssd,0.1597195416688919,1,0.9136043190956116
98,98,-15,8,ssd,0.1634337455034256,1,0.9092311263084412
99,99,-15,8,ssd,0.20790991187095642,1,0.9238914251327515
100,100,-15,8,ssd,0.3486083447933197,1,0.9424145221710205
101,101,-15,8,ssd,0.16908465325832367,1,0.9362797737121582
102,102,-15,8,ssd,0.15646685659885406,1,0.9171378016471863
103,103,-15,8,ssd,0.10326594114303589,1,0.9514406323432922
104,104,-15,8,ssd,0.17263096570968628,1,0.9580943584442139
105,105,-15,8,ssd,0.10802984982728958,1,0.9502902626991272
106,106,-15,8,ssd,0.08214816451072693,1,0.9525087475776672
107,107,-15,8,ssd,0.1177770346403122,1,0.9420700073242188
108,108,-15,8,ssd,0.14039134979248047,1,0.9494060277938843
109,109,-15,8,ssd,0.06456960737705231,1,0.9437949061393738
110,110,-15,8,ssd,0.10409503430128098,1,0.9383171200752258
111,111,-15,8,ssd,0.09204302728176117,1,0.930702269077301
112,112,-15,8,ssd,0.08623713254928589,1,0.9488334655761719
113,113,-15,8,ssd,0.1192498505115509,1,0.9288353323936462
114,114,-15,8,ssd,0.0504889115691185,1,0.9061540961265564
115,115,-15,8,ssd,0.046861227601766586,1,0.9442620873451233
116,116,-15,8,ssd,0.0,0,0.0
117,117,-15,8,ssd,0.07823377102613449,1,0.9528722167015076
118,118,-15,8,ssd,0.0,0,0.0
119,119,-15,8,ssd,0.0,0,0.0
120,120,-15,8,ssd,0.04734937474131584,1,0.9476969838142395
121,121,-15,8,ssd,0.056301601231098175,2,0.938786506652832
122,122,-15,8,ssd,0.20615555346012115,2,0.9548137784004211
123,123,-15,8,ssd,0.19795340299606323,2,0.961176872253418
124,124,-15,8,ssd,0.18425212800502777,2,0.9432680010795593
125,125,-15,8,ssd,0.18960455060005188,2,0.9165011644363403
126,126,-15,8,ssd,0.16028423607349396,2,0.9175365567207336
127,127,-15,8,ssd,0.1690264195203781,2,0.9283924102783203
128,128,-15,8,ssd,0.30641913414001465,6,0.8978463411331177
129,129,-15,8,ssd,0.3356839120388031,3,0.9197333455085754
130,130,-15,8,ssd,0.2959776818752289,3,0.8982847929000854
131,131,-15,8,ssd,0.36609676480293274,3,0.8871586322784424
132,132,-15,8,ssd,0.19518612325191498,2,0.8981507420539856
133,133,-15,8,ssd,0.3584868609905243,3,0.884032130241394
134,134,-15,8,ssd,0.34585660696029663,3,0.9006987810134888
135,135,-15,8,ssd,0.3260897994041443,3,0.8745350241661072
136,136,-15,8,ssd,0.2686809003353119,3,0.9034640789031982
137,137,-15,8,ssd,0.3411301076412201,2,0.8874576687812805
138,138,-15,8,ssd,0.5052840709686279,2,0.8976101279258728
139,139,-15,8,ssd,0.3604072034358978,2,0.8928666114807129
140,140,-15,8,ssd,0.3362443447113037,2,0.9182586073875427
141,141,-15,8,ssd,0.2737283706665039,2,0.9113216996192932
142,142,-15,8,ssd,0.26709914207458496,2,0.9229221940040588
143,143,-15,8,ssd,0.2599577009677887,2,0.9241154193878174
144,144,-15,8,ssd,0.26695096492767334,2,0.9210541248321533
145,145,-15,8,ssd,0.2946232557296753,2,0.9125872850418091
146,146,-15,8,ssd,0.32045459747314453,2,0.9185330867767334
147,147,-15,8,ssd,0.42598670721054077,2,0.9299237728118896
148,148,-15,8,ssd,0.36708158254623413,2,0.9205027222633362
149,149,-15,8,ssd,0.33276596665382385,2,0.9162533283233643
150,150,-15,8,ssd,0.41879114508628845,2,0.8733640313148499
151,151,-15,8,ssd,0.320919930934906,2,0.8992624282836914
152,152,-15,8,ssd,0.37477344274520874,2,0.9102818369865417
153,153,-15,8,ssd,0.31180238723754883,2,0.9290611147880554
154,154,-15,8,ssd,0.43441134691238403,3,0.909359335899353
155,155,-15,8,ssd,0.4065258502960205,2,0.9207190871238708
156,156,-15,8,ssd,0.5193747282028198,2,0.8993403315544128
157,157,-15,8,ssd,0.5791663527488708,2,0.9042474031448364
158,158,-15,8,ssd,0.7283505201339722,3,0.9162136316299438
159,159,-15,8,ssd,0.7343465685844421,2,0.9075319170951843
160,160,-15,8,ssd,0.700779139995575,1,0.9090961217880249
161,161,-15,8,ssd,0.6991217136383057,3,0.8931421637535095
162,162,-15,8,ssd,0.5309525728225708,3,0.8989027738571167
163,163,-15,8,ssd,0.6474232077598572,4,0.8857882618904114
164,164,-15,8,ssd,0.693170428276062,2,0.9026176929473877
165,165,-15,8,ssd,0.7192310094833374,4,0.9130388498306274
166,166,-15,8,ssd,0.6821646094322205,1,0.8942452073097229
167,167,-15,8,ssd,0.7088245749473572,3,0.8671287298202515
168,168,-15,8,ssd,0.797697901725769,4,0.8733285069465637
169,169,-15,8,ssd,0.7623416781425476,5,0.8873422145843506
170,170,-15,8,ssd,0.6700270175933838,4,0.8778570890426636
171,171,-15,8,ssd,0.6846480369567871,2,0.8462281823158264
172,172,-15,8,ssd,0.6728432774543762,4,0.8265924453735352
173,173,-15,8,ssd,0.7526195049285889,3,0.8445249795913696
174,174,-15,8,ssd,0.7582652568817139,4,0.8225051164627075
175,175,-15,8,ssd,0.7568894624710083,4,0.8190769553184509
176,176,-15,8,ssd,0.6492733955383301,3,0.8353709578514099
177,177,-15,8,ssd,0.683301568031311,1,0.8371838331222534
178,178,-15,8,ssd,0.5793026685714722,1,0.803741991519928
179,179,-15,8,ssd,0.5047767758369446,1,0.8087244033813477
180,180,-15,8,ssd,0.4554910957813263,2,0.8098660707473755
181,181,-15,8,ssd,0.48906561732292175,1,0.8083361983299255
182,182,-15,8,ssd,0.5304259061813354,1,0.7995513677597046
183,183,-15,8,ssd,0.40811535716056824,1,0.8053587675094604
184,184,-15,8,ssd,0.3330495357513428,1,0.8004690408706665
185,185,-15,8,ssd,0.3578029274940491,2,0.8114976286888123
186,186,-15,8,ssd,0.2816610336303711,1,0.8176412582397461
187,187,-15,8,ssd,0.26874953508377075,1,0.7990214228630066
188,188,-15,8,ssd,0.3209373950958252,1,0.8116567134857178
189,189,-15,8,ssd,0.5609700679779053,1,0.8008995056152344
190,190,-15,8,ssd,0.5522796511650085,1,0.81632399559021
191,191,-15,8,ssd,0.39551883935928345,1,0.8216509819030762
192,192,-15,8,ssd,0.3188938498497009,1,0.7836489677429199
193,193,-15,8,ssd,0.3432064652442932,1,0.7840695381164551
194,194,-15,8,ssd,0.5521491169929504,1,0.8128837943077087
195,195,-15,8,ssd,0.3704061210155487,1,0.8100689649581909
196,196,-15,8,ssd,0.2526048719882965,1,0.7847860455513
197,197,-15,8,ssd,0.2780643105506897,1,0.8016108870506287
198,198,-15,8,ssd,0.23997624218463898,1,0.8151212930679321
199,199,-15,8,ssd,0.19587622582912445,1,0.821411669254303
200,200,-15,8,ssd,0.2237531840801239,1,0.8277806043624878
201,201,-15,8,ssd,0.16625066101551056,1,0.8239396810531616
202,202,-15,8,ssd,0.15647298097610474,1,0.8258962035179138
203,203,-15,8,ssd,0.1471981555223465,1,0.8131709098815918
204,204,-15,8,ssd,0.11386249959468842,1,0.8131938576698303
205,205,-15,8,ssd,0.11006171256303787,1,0.8170686960220337
206,206,-15,8,ssd,0.16406287252902985,1,0.8370470404624939
207,207,-15,8,ssd,0.2384166121482849,1,0.852861762046814
208,208,-15,8,ssd,0.2588876187801361,1,0.8348648548126221
209,209,-15,8,ssd,0.1541415899991989,1,0.8641353845596313
210,210,-15,8,ssd,0.1470821648836136,1,0.8420796990394592
211,211,-15,8,ssd,0.09272948652505875,2,0.8312401175498962
212,212,-15,8,ssd,0.08664149791002274,2,0.8557735085487366
213,213,-15,8,ssd,0.0,0,0.0
214,214,-15,8,ssd,0.08033137768507004,1,0.8570997714996338
215,215,-15,8,ssd,0.08810916543006897,2,0.886643648147583
216,216,-15,8,ssd,0.07542154937982559,2,0.08800127357244492
217,217,-15,8,ssd,0.08318283408880234,2,0.8318435549736023
218,218,-15,8,ssd,0.07515988498926163,2,0.8673032522201538
219,219,-15,8,ssd,0.08749919384717941,2,0.8536372780799866
220,220,-15,8,ssd,0.09407953172922134,2,0.7808766961097717
221,221,-15,8,ssd,0.0626782551407814,2,0.8225751519203186
222,222,-15,8,ssd,0.15302518010139465,2,0.8636176586151123
223,223,-15,8,ssd,0.11568018049001694,2,0.8531672358512878
224,224,-15,8,ssd,0.14034321904182434,1,0.8379656076431274
225,225,-15,8,ssd,0.38514062762260437,2,0.8509591817855835
226,226,-15,8,ssd,0.5955153703689575,2,0.8770390748977661
227,227,-15,8,ssd,0.5751098990440369,1,0.866845965385437
228,228,-15,8,ssd,0.4777064323425293,1,0.8656822443008423
229,229,-15,8,ssd,0.37268781661987305,1,0.8520703911781311
230,230,-15,8,ssd,0.4559909403324127,2,0.896979808807373
231,231,-15,8,ssd,0.590753436088562,2,0.8916392922401428
232,232,-15,8,ssd,0.42582324147224426,3,0.7869049906730652
233,233,-15,8,ssd,0.49668291211128235,2,0.9082401394844055
234,234,-15,8,ssd,0.35352998971939087,2,0.7869433164596558
235,235,-15,8,ssd,0.5355624556541443,3,0.9161428213119507
236,236,-15,8,ssd,0.5486178398132324,2,0.9099057912826538
237,237,-15,8,ssd,0.5165562033653259,2,0.9147104024887085
238,238,-15,8,ssd,0.5109467506408691,3,0.8898335099220276
239,239,-15,8,ssd,0.36079445481300354,1,0.7370904684066772
240,240,-15,8,ssd,0.4784946143627167,2,0.8723404407501221
241,241,-15,8,ssd,0.4544322192668915,1,0.9118673205375671
242,242,-15,8,ssd,0.4132051467895508,1,0.856882631778717
243,243,-15,8,ssd,0.41244035959243774,1,0.9355708956718445
244,244,-15,8,ssd,0.28822359442710876,1,0.9024842977523804
245,245,-15,8,ssd,0.42504042387008667,1,0.9322332143783569
246,246,-15,8,ssd,0.37585368752479553,1,0.9072515964508057
247,247,-15,8,ssd,0.3418614864349365,1,0.9010631442070007
248,248,-15,8,ssd,0.2726367115974426,1,0.8992003798484802
249,249,-15,8,ssd,0.20213931798934937,1,0.9096416234970093
250,250,-15,8,ssd,0.10811074823141098,1,0.9218937158584595
251,251,-15,8,ssd,0.07278306782245636,1,0.925112247467041
252,252,-15,8,ssd,0.1382419466972351,1,0.927579402923584
253,253,-15,8,ssd,0.10823559761047363,1,0.9105184078216553
254,254,-15,8,ssd,0.11869814246892929,1,0.914164125919342
255,255,-15,8,ssd,0.13672888278961182,1,0.9123590588569641
