viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,yolov5l,0.877204954624176,1,0.9544920921325684
1,1,-15,8,yolov5l,0.8420533537864685,1,0.9560175538063049
2,2,-15,8,yolov5l,0.872619092464447,1,0.9666205048561096
3,3,-15,8,yolov5l,0.8467040657997131,1,0.9829828143119812
4,4,-15,8,yolov5l,0.8848966360092163,1,0.9727791547775269
5,5,-15,8,yolov5l,0.9009878039360046,1,0.9823890328407288
6,6,-15,8,yolov5l,0.89829421043396,1,0.9857740998268127
7,7,-15,8,yolov5l,0.8755824565887451,1,0.9898008704185486
8,8,-15,8,yolov5l,0.84779292345047,1,0.9850897192955017
9,9,-15,8,yolov5l,0.8415328860282898,1,0.9842386245727539
10,10,-15,8,yolov5l,0.896123468875885,1,0.9827054142951965
11,11,-15,8,yolov5l,0.9157640337944031,1,0.9734830260276794
12,12,-15,8,yolov5l,0.908504068851471,1,0.9679151773452759
13,13,-15,8,yolov5l,0.9023817181587219,1,0.9626363515853882
14,14,-15,8,yolov5l,0.9162362813949585,1,0.9656224846839905
15,15,-15,8,yolov5l,0.9197496175765991,1,0.9590566158294678
16,16,-15,8,yolov5l,0.9202994704246521,1,0.9670186042785645
17,17,-15,8,yolov5l,0.9114009737968445,1,0.9671376943588257
18,18,-15,8,yolov5l,0.909947395324707,1,0.9678738117218018
19,19,-15,8,yolov5l,0.9312566518783569,1,0.9677536487579346
20,20,-15,8,yolov5l,0.9415597915649414,1,0.9710023403167725
21,21,-15,8,yolov5l,0.9431852102279663,1,0.9760898351669312
22,22,-15,8,yolov5l,0.9429031014442444,1,0.9727849960327148
23,23,-15,8,yolov5l,0.942617654800415,1,0.976753830909729
24,24,-15,8,yolov5l,0.9456559419631958,1,0.9746897220611572
25,25,-15,8,yolov5l,0.949130654335022,1,0.9796116948127747
26,26,-15,8,yolov5l,0.9420114159584045,1,0.9748526811599731
27,27,-15,8,yolov5l,0.9445846080780029,1,0.9759320020675659
28,28,-15,8,yolov5l,0.9453080892562866,1,0.9795775413513184
29,29,-15,8,yolov5l,0.9473691582679749,1,0.9808915853500366
30,30,-15,8,yolov5l,0.9325292706489563,1,0.9882599115371704
31,31,-15,8,yolov5l,0.9471290707588196,1,0.9862110018730164
32,32,-15,8,yolov5l,0.9506354928016663,1,0.9865650534629822
33,33,-15,8,yolov5l,0.9456271529197693,1,0.9877721667289734
34,34,-15,8,yolov5l,0.9464446902275085,1,0.9824085235595703
35,35,-15,8,yolov5l,0.9484170079231262,1,0.9838124513626099
36,36,-15,8,yolov5l,0.9464111924171448,1,0.9757496118545532
37,37,-15,8,yolov5l,0.9425104260444641,1,0.9763864278793335
38,38,-15,8,yolov5l,0.9387567043304443,1,0.9843298196792603
39,39,-15,8,yolov5l,0.9304159879684448,1,0.9827620983123779
40,40,-15,8,yolov5l,0.9215376973152161,1,0.9805921316146851
41,41,-15,8,yolov5l,0.9256062507629395,1,0.981001615524292
42,42,-15,8,yolov5l,0.9422944784164429,1,0.9888408780097961
43,43,-15,8,yolov5l,0.9429870843887329,1,0.9918345808982849
44,44,-15,8,yolov5l,0.9370766282081604,1,0.9937140941619873
45,45,-15,8,yolov5l,0.9420791268348694,1,0.9810046553611755
46,46,-15,8,yolov5l,0.9461749196052551,1,0.9852666854858398
47,47,-15,8,yolov5l,0.9377355575561523,1,0.985564112663269
48,48,-15,8,yolov5l,0.9240632653236389,1,0.9821327924728394
49,49,-15,8,yolov5l,0.9372809529304504,1,0.9908021688461304
50,50,-15,8,yolov5l,0.9331620335578918,1,0.9917111396789551
51,51,-15,8,yolov5l,0.9193772673606873,1,0.9834067821502686
52,52,-15,8,yolov5l,0.9002878665924072,1,0.9822898507118225
53,53,-15,8,yolov5l,0.9178691506385803,1,0.9730792045593262
54,54,-15,8,yolov5l,0.913528323173523,1,0.9735679626464844
55,55,-15,8,yolov5l,0.920021116733551,1,0.9702661633491516
56,56,-15,8,yolov5l,0.9333868622779846,1,0.9647186994552612
57,57,-15,8,yolov5l,0.9274440407752991,1,0.9693710207939148
58,58,-15,8,yolov5l,0.9225772619247437,1,0.9643121957778931
59,59,-15,8,yolov5l,0.9069329500198364,1,0.9735479354858398
60,60,-15,8,yolov5l,0.9057413935661316,1,0.9688856601715088
61,61,-15,8,yolov5l,0.8793078064918518,1,0.9652135372161865
62,62,-15,8,yolov5l,0.9061594009399414,1,0.969376266002655
63,63,-15,8,yolov5l,0.8879506587982178,1,0.9559941291809082
64,64,-15,8,yolov5l,0.9089558124542236,1,0.9602928757667542
65,65,-15,8,yolov5l,0.8812121152877808,1,0.9602973461151123
66,66,-15,8,yolov5l,0.879985511302948,1,0.9703912138938904
67,67,-15,8,yolov5l,0.8251930475234985,1,0.9781711101531982
68,68,-15,8,yolov5l,0.7961330413818359,1,0.9834227561950684
69,69,-15,8,yolov5l,0.7707716226577759,1,0.9808447957038879
70,70,-15,8,yolov5l,0.7454338073730469,1,0.9736542105674744
71,71,-15,8,yolov5l,0.7301101088523865,1,0.9712646007537842
72,72,-15,8,yolov5l,0.5471413731575012,1,0.968887984752655
73,73,-15,8,yolov5l,0.5261682271957397,1,0.9784420132637024
74,74,-15,8,yolov5l,0.6859325170516968,1,0.9790151119232178
75,75,-15,8,yolov5l,0.6468766927719116,1,0.9778847098350525
76,76,-15,8,yolov5l,0.6342661380767822,1,0.9837555885314941
77,77,-15,8,yolov5l,0.6012734770774841,1,0.976766049861908
78,78,-15,8,yolov5l,0.4875512719154358,1,0.985550045967102
79,79,-15,8,yolov5l,0.46282851696014404,1,0.9894434213638306
80,80,-15,8,yolov5l,0.3823974132537842,1,0.984099805355072
81,81,-15,8,yolov5l,0.6161479353904724,1,0.9771694540977478
82,82,-15,8,yolov5l,0.2532728910446167,1,0.9852331876754761
83,83,-15,8,yolov5l,0.50792396068573,1,0.956010103225708
84,84,-15,8,yolov5l,0.505544126033783,1,0.9677637219429016
85,85,-15,8,yolov5l,0.7277442812919617,1,0.970057487487793
86,86,-15,8,yolov5l,0.5616400241851807,1,0.96685791015625
87,87,-15,8,yolov5l,0.6164640188217163,1,0.9640045762062073
88,88,-15,8,yolov5l,0.0,0,0.0
89,89,-15,8,yolov5l,0.5078044533729553,1,0.9420632719993591
90,90,-15,8,yolov5l,0.3118668496608734,1,0.8912945985794067
91,91,-15,8,yolov5l,0.2946801483631134,1,0.9008774757385254
92,92,-15,8,yolov5l,0.0,0,0.0
93,93,-15,8,yolov5l,0.3304199278354645,1,0.9186891317367554
94,94,-15,8,yolov5l,0.0,0,0.0
95,95,-15,8,yolov5l,0.2585558295249939,1,0.9127557873725891
96,96,-15,8,yolov5l,0.3682827651500702,1,0.8959975242614746
97,97,-15,8,yolov5l,0.5209468007087708,1,0.9299197793006897
98,98,-15,8,yolov5l,0.5905548334121704,1,0.9158567786216736
99,99,-15,8,yolov5l,0.836825430393219,1,0.9613392353057861
100,100,-15,8,yolov5l,0.7881243228912354,1,0.9577008485794067
101,101,-15,8,yolov5l,0.7582403421401978,1,0.9489732980728149
102,102,-15,8,yolov5l,0.7554815411567688,1,0.9358379244804382
103,103,-15,8,yolov5l,0.8981197476387024,1,0.9697651863098145
104,104,-15,8,yolov5l,0.9057138562202454,1,0.9817593097686768
105,105,-15,8,yolov5l,0.9107993245124817,1,0.9840927124023438
106,106,-15,8,yolov5l,0.9055388569831848,1,0.9734346270561218
107,107,-15,8,yolov5l,0.870761513710022,1,0.9805542826652527
108,108,-15,8,yolov5l,0.8824743032455444,1,0.9821707606315613
109,109,-15,8,yolov5l,0.7994716763496399,1,0.9722515344619751
110,110,-15,8,yolov5l,0.8496575355529785,1,0.9825479388237
111,111,-15,8,yolov5l,0.8835203051567078,1,0.9808661937713623
112,112,-15,8,yolov5l,0.8647568821907043,1,0.9822261929512024
113,113,-15,8,yolov5l,0.8906748294830322,1,0.9781039953231812
114,114,-15,8,yolov5l,0.860284149646759,1,0.9802470207214355
115,115,-15,8,yolov5l,0.886132538318634,1,0.9769401550292969
116,116,-15,8,yolov5l,0.8715872168540955,1,0.9738999009132385
117,117,-15,8,yolov5l,0.888688862323761,1,0.9778769612312317
118,118,-15,8,yolov5l,0.8966569900512695,1,0.9746336340904236
119,119,-15,8,yolov5l,0.8659252524375916,1,0.9764991998672485
120,120,-15,8,yolov5l,0.8474854230880737,1,0.9757903218269348
121,121,-15,8,yolov5l,0.8812146782875061,1,0.9782858490943909
122,122,-15,8,yolov5l,0.8884404301643372,1,0.9781558513641357
123,123,-15,8,yolov5l,0.8902581930160522,1,0.9786990880966187
124,124,-15,8,yolov5l,0.9101462364196777,1,0.972495973110199
125,125,-15,8,yolov5l,0.8945448398590088,1,0.9688186049461365
126,126,-15,8,yolov5l,0.9154035449028015,1,0.9831303954124451
127,127,-15,8,yolov5l,0.8914950489997864,1,0.9735159873962402
128,128,-15,8,yolov5l,0.9411296844482422,1,0.978185772895813
129,129,-15,8,yolov5l,0.9320425391197205,1,0.9718162417411804
130,130,-15,8,yolov5l,0.9311255812644958,1,0.9735323190689087
131,131,-15,8,yolov5l,0.9340294599533081,1,0.9675410985946655
132,132,-15,8,yolov5l,0.9159224629402161,1,0.9693864583969116
133,133,-15,8,yolov5l,0.9225401282310486,1,0.9655941724777222
134,134,-15,8,yolov5l,0.92697674036026,1,0.9621801972389221
135,135,-15,8,yolov5l,0.910129189491272,1,0.9613911509513855
136,136,-15,8,yolov5l,0.9167041182518005,1,0.9646067023277283
137,137,-15,8,yolov5l,0.9014567136764526,1,0.9639385938644409
138,138,-15,8,yolov5l,0.8886691331863403,1,0.9634338617324829
139,139,-15,8,yolov5l,0.888555109500885,1,0.9564542770385742
140,140,-15,8,yolov5l,0.9097979068756104,1,0.9639521837234497
141,141,-15,8,yolov5l,0.9225224256515503,1,0.9686325788497925
142,142,-15,8,yolov5l,0.9042500257492065,1,0.9642027020454407
143,143,-15,8,yolov5l,0.8898072242736816,1,0.9640952348709106
144,144,-15,8,yolov5l,0.9017286896705627,1,0.9666652679443359
145,145,-15,8,yolov5l,0.896124541759491,1,0.9725274443626404
146,146,-15,8,yolov5l,0.8711268305778503,1,0.9636240005493164
147,147,-15,8,yolov5l,0.8276903033256531,1,0.969621479511261
148,148,-15,8,yolov5l,0.8388250470161438,1,0.9667884707450867
149,149,-15,8,yolov5l,0.8657918572425842,1,0.9721639156341553
