viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,yolov5m,0.0,0,0.0
1,1,-15,8,yolov5m,0.0,0,0.0
2,2,-15,8,yolov5m,0.0,0,0.0
3,3,-15,8,yolov5m,0.0,0,0.0
4,4,-15,8,yolov5m,0.0,0,0.0
5,5,-15,8,yolov5m,0.0,0,0.0
6,6,-15,8,yolov5m,0.0,0,0.0
7,7,-15,8,yolov5m,0.0,0,0.0
8,8,-15,8,yolov5m,0.4310545325279236,1,0.9376775026321411
9,9,-15,8,yolov5m,0.2643725574016571,1,0.9547218084335327
10,10,-15,8,yolov5m,0.46999579668045044,1,0.9347006678581238
11,11,-15,8,yolov5m,0.6171355247497559,1,0.9312779307365417
12,12,-15,8,yolov5m,0.6781926155090332,1,0.9270719885826111
13,13,-15,8,yolov5m,0.6685451865196228,1,0.9295449256896973
14,14,-15,8,yolov5m,0.7984099984169006,1,0.9327459335327148
15,15,-15,8,yolov5m,0.7332965135574341,1,0.9282950162887573
16,16,-15,8,yolov5m,0.6367136836051941,1,0.9347655177116394
17,17,-15,8,yolov5m,0.4438389241695404,1,0.9433932900428772
18,18,-15,8,yolov5m,0.5419941544532776,1,0.9501904249191284
19,19,-15,8,yolov5m,0.33076372742652893,1,0.944740891456604
20,20,-15,8,yolov5m,0.6937342882156372,1,0.9485780000686646
21,21,-15,8,yolov5m,0.7744585275650024,1,0.9542244672775269
22,22,-15,8,yolov5m,0.786739706993103,1,0.9499468207359314
23,23,-15,8,yolov5m,0.7563343644142151,1,0.9524493217468262
24,24,-15,8,yolov5m,0.7107454538345337,1,0.9542332887649536
25,25,-15,8,yolov5m,0.5785634517669678,1,0.955367386341095
26,26,-15,8,yolov5m,0.648129940032959,1,0.9420042634010315
27,27,-15,8,yolov5m,0.6206660270690918,1,0.960588276386261
28,28,-15,8,yolov5m,0.7488048076629639,1,0.9556872844696045
29,29,-15,8,yolov5m,0.6988638043403625,1,0.965519368648529
30,30,-15,8,yolov5m,0.6843734383583069,1,0.9661183953285217
31,31,-15,8,yolov5m,0.5692591667175293,1,0.9610006213188171
32,32,-15,8,yolov5m,0.7313414216041565,1,0.9635761380195618
33,33,-15,8,yolov5m,0.6971972584724426,1,0.959710955619812
34,34,-15,8,yolov5m,0.7295618057250977,1,0.9711506366729736
35,35,-15,8,yolov5m,0.7246167659759521,1,0.9736671447753906
36,36,-15,8,yolov5m,0.7705715298652649,1,0.9621385335922241
37,37,-15,8,yolov5m,0.7306088209152222,1,0.9555308222770691
38,38,-15,8,yolov5m,0.7919005751609802,1,0.9634799361228943
39,39,-15,8,yolov5m,0.7591411471366882,1,0.9705964922904968
40,40,-15,8,yolov5m,0.7377337217330933,1,0.9700056910514832
41,41,-15,8,yolov5m,0.7903988361358643,1,0.9677154421806335
42,42,-15,8,yolov5m,0.8192825317382812,1,0.9681282639503479
43,43,-15,8,yolov5m,0.7917293906211853,1,0.9739640355110168
