viewpoint,yaw,pitch,distance,neural_conf,carla_conf,neural_num_det,carla_num_det
0,0,-15,8,0.17548488080501556,0.27435803413391113,48,4
1,5,-15,8,0.11653859168291092,0.3877629041671753,75,10
2,10,-15,8,0.09795820713043213,0.2993776500225067,66,9
3,15,-15,8,0.12005560845136642,0.5759205222129822,75,16
4,20,-15,8,0.056727852672338486,0.21374645829200745,51,8
5,25,-15,8,0.05072988197207451,0.07120559364557266,55,4
6,30,-15,8,0.05885101109743118,0.04970188066363335,68,4
7,35,-15,8,0.06839971989393234,0.06822807341814041,65,3
8,40,-15,8,0.059872522950172424,0.11899573355913162,47,3
9,45,-15,8,0.07896848022937775,0.07223953306674957,38,2
10,50,-15,8,0.18242868781089783,0.06310046464204788,48,2
11,55,-15,8,0.2138868123292923,0.07355612516403198,58,2
12,60,-15,8,0.17240501940250397,0.06490736454725266,56,2
13,65,-15,8,0.1650037169456482,0.09317236393690109,53,2
14,70,-15,8,0.20182183384895325,0.2672497630119324,78,3
15,75,-15,8,0.1412416696548462,0.2357504963874817,96,3
16,80,-15,8,0.15366624295711517,0.15664348006248474,94,9
17,85,-15,8,0.2729078531265259,0.15489031374454498,92,5
18,90,-15,8,0.3468014597892761,0.09746310114860535,98,8
19,95,-15,8,0.4396580457687378,0.14345306158065796,97,8
20,100,-15,8,0.2941110134124756,0.1912473887205124,94,4
21,105,-15,8,0.15526697039604187,0.2734565734863281,97,8
22,110,-15,8,0.2037753164768219,0.34931713342666626,98,16
23,115,-15,8,0.2827013432979584,0.47438839077949524,95,10
24,120,-15,8,0.19469888508319855,0.145597904920578,90,3
25,125,-15,8,0.18663042783737183,0.14164112508296967,82,2
26,130,-15,8,0.20443473756313324,0.1510654091835022,63,2
27,135,-15,8,0.3274497389793396,0.07144682854413986,52,2
28,140,-15,8,0.30710768699645996,0.04044482856988907,66,2
29,145,-15,8,0.347339391708374,0.07068032026290894,73,1
30,150,-15,8,0.2890416085720062,0.08166448771953583,72,3
31,155,-15,8,0.3831440210342407,0.15583136677742004,58,2
32,160,-15,8,0.3609062731266022,0.40989750623703003,37,3
33,165,-15,8,0.23586954176425934,0.4385474622249603,33,3
34,170,-15,8,0.2762302756309509,0.40913286805152893,25,5
35,175,-15,8,0.37085777521133423,0.22430315613746643,41,4
36,180,-15,8,0.13088330626487732,0.1804073303937912,42,3
37,185,-15,8,0.2458295226097107,0.1614437997341156,54,2
38,190,-15,8,0.13806554675102234,0.12135693430900574,47,1
39,195,-15,8,0.20629443228244781,0.06985974311828613,47,1
40,200,-15,8,0.1470734030008316,0.04964865744113922,51,1
41,205,-15,8,0.19303786754608154,0.0602068230509758,63,1
42,210,-15,8,0.1701897382736206,0.038910023868083954,56,1
43,215,-15,8,0.2185612916946411,0.03640076890587807,56,2
44,220,-15,8,0.19416174292564392,0.03762587159872055,68,1
45,225,-15,8,0.20365041494369507,0.053637221455574036,72,1
46,230,-15,8,0.2612956464290619,0.12570343911647797,74,1
47,235,-15,8,0.14342676103115082,0.23209628462791443,74,1
48,240,-15,8,0.27096477150917053,0.0597846694290638,89,1
49,245,-15,8,0.1648920625448227,0.03689448535442352,100,1
50,250,-15,8,0.06922750174999237,0.03206206113100052,94,1
51,255,-15,8,0.07885835319757462,0.025707589462399483,96,1
52,260,-15,8,0.15099823474884033,0.047727495431900024,91,1
53,265,-15,8,0.1288277506828308,0.0,100,0
54,270,-15,8,0.16025608777999878,0.0,87,0
55,275,-15,8,0.16815143823623657,0.0,75,0
56,280,-15,8,0.10723600536584854,0.0,53,0
57,285,-15,8,0.18685787916183472,0.0,73,0
58,290,-15,8,0.24256469309329987,0.02870969846844673,72,1
59,295,-15,8,0.16813023388385773,0.031165456399321556,53,1
60,300,-15,8,0.13010945916175842,0.04071233421564102,49,1
61,305,-15,8,0.20291605591773987,0.06144934892654419,45,1
62,310,-15,8,0.1593007594347,0.06536045670509338,39,1
63,315,-15,8,0.1147066056728363,0.05509312450885773,53,1
64,320,-15,8,0.08651185780763626,0.04590899869799614,55,1
65,325,-15,8,0.10787606984376907,0.05374333634972572,68,1
66,330,-15,8,0.09318181127309799,0.06788403540849686,46,1
67,335,-15,8,0.08979979157447815,0.05247869715094566,39,1
68,340,-15,8,0.08923005312681198,0.05847975239157677,25,1
69,345,-15,8,0.07699635624885559,0.09579737484455109,38,2
70,350,-15,8,0.058997564017772675,0.11145339161157608,54,2
71,355,-15,8,0.1441456377506256,0.12353114783763885,33,2
