viewpoint,yaw,pitch,distance,max_conf_carla,num_detections,iou
0,0,-15,8,0.11051806807518005,7,0.9043582677841187
1,1,-15,8,0.0967845469713211,6,0.9013420939445496
2,2,-15,8,0.10823096334934235,2,0.9312019348144531
3,3,-15,8,0.12317438423633575,4,0.9400503635406494
4,4,-15,8,0.15353193879127502,4,0.9311057329177856
5,5,-15,8,0.11390107125043869,7,0.9350658655166626
6,6,-15,8,0.1399025022983551,6,0.9521797895431519
7,7,-15,8,0.18008758127689362,9,0.9445390701293945
8,8,-15,8,0.2120773196220398,17,0.9661188721656799
9,9,-15,8,0.1592722088098526,11,0.9480013847351074
10,10,-15,8,0.13488103449344635,11,0.9367454051971436
11,11,-15,8,0.16202284395694733,15,0.9378993511199951
12,12,-15,8,0.15144476294517517,17,0.928280234336853
13,13,-15,8,0.15669625997543335,12,0.9304957389831543
14,14,-15,8,0.15058203041553497,13,0.9194493889808655
15,15,-15,8,0.09485326707363129,9,0.9221920371055603
16,16,-15,8,0.0671682059764862,7,0.9104037284851074
17,17,-15,8,0.09151938557624817,9,0.9043114185333252
18,18,-15,8,0.07106029242277145,7,0.8860724568367004
19,19,-15,8,0.06712961196899414,6,0.8952166438102722
20,20,-15,8,0.06185121461749077,9,0.8865395784378052
21,21,-15,8,0.06299100816249847,10,0.887277364730835
22,22,-15,8,0.05419158563017845,9,0.8840539455413818
23,23,-15,8,0.05314916372299194,9,0.8897943496704102
24,24,-15,8,0.05128275230526924,8,0.8938522338867188
25,25,-15,8,0.041090935468673706,7,0.8878244161605835
26,26,-15,8,0.03992696851491928,6,0.8925057053565979
27,27,-15,8,0.04283483326435089,6,0.8672713041305542
28,28,-15,8,0.04142582416534424,7,0.8837248682975769
29,29,-15,8,0.040523070842027664,7,0.8766671419143677
30,30,-15,8,0.03829636052250862,8,0.7766793370246887
31,31,-15,8,0.043673355132341385,6,0.7822613716125488
32,32,-15,8,0.03787773847579956,7,0.7762317061424255
33,33,-15,8,0.03968251124024391,5,0.7900389432907104
34,34,-15,8,0.039004407823085785,6,0.7862988710403442
35,35,-15,8,0.03846479952335358,7,0.7691935300827026
36,36,-15,8,0.037537816911935806,5,0.7950735688209534
37,37,-15,8,0.038106538355350494,8,0.2972683608531952
38,38,-15,8,0.04065091162919998,9,0.31200113892555237
39,39,-15,8,0.04033742472529411,5,0.321427583694458
40,40,-15,8,0.04592125490307808,7,0.26459556818008423
41,41,-15,8,0.04773285984992981,6,0.3214173913002014
42,42,-15,8,0.047122325748205185,7,0.2815062701702118
43,43,-15,8,0.055005062371492386,8,0.26889023184776306
44,44,-15,8,0.05563086271286011,8,0.2712518870830536
45,45,-15,8,0.0661739781498909,11,0.2880394756793976
46,46,-15,8,0.06704557687044144,7,0.29489821195602417
47,47,-15,8,0.07987752556800842,8,0.3145686089992523
48,48,-15,8,0.07471638917922974,9,0.368192195892334
49,49,-15,8,0.07509985566139221,9,0.38646838068962097
50,50,-15,8,0.08388833701610565,10,0.3348449766635895
51,51,-15,8,0.08348741382360458,6,0.34896034002304077
52,52,-15,8,0.07875000685453415,6,0.3282289206981659
