viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,faster_rcnn,0.9586091041564941,2,0.9238963723182678
1,1,-15,8,faster_rcnn,0.944948136806488,2,0.9127700328826904
2,2,-15,8,faster_rcnn,0.9110808968544006,2,0.8710365891456604
3,3,-15,8,faster_rcnn,0.9305216670036316,2,0.9146047234535217
4,4,-15,8,faster_rcnn,0.9610581994056702,1,0.8899894952774048
5,5,-15,8,faster_rcnn,0.9572263360023499,1,0.8934274315834045
6,6,-15,8,faster_rcnn,0.9637379050254822,1,0.8782309889793396
7,7,-15,8,faster_rcnn,0.9399885535240173,1,0.8640579581260681
8,8,-15,8,faster_rcnn,0.8963356614112854,1,0.8813487887382507
9,9,-15,8,faster_rcnn,0.7946651577949524,1,0.865689218044281
10,10,-15,8,faster_rcnn,0.8828433752059937,1,0.8772807717323303
11,11,-15,8,faster_rcnn,0.9295839071273804,1,0.863294243812561
12,12,-15,8,faster_rcnn,0.897898256778717,1,0.8853495121002197
13,13,-15,8,faster_rcnn,0.9055281281471252,1,0.8864917159080505
14,14,-15,8,faster_rcnn,0.8882620930671692,1,0.8372935652732849
15,15,-15,8,faster_rcnn,0.9117254614830017,1,0.8797721862792969
16,16,-15,8,faster_rcnn,0.9108610153198242,1,0.8726893067359924
17,17,-15,8,faster_rcnn,0.9216413497924805,1,0.8578454852104187
18,18,-15,8,faster_rcnn,0.92081618309021,1,0.8569198250770569
19,19,-15,8,faster_rcnn,0.9103902578353882,1,0.8727347254753113
20,20,-15,8,faster_rcnn,0.8868790864944458,1,0.8604353666305542
21,21,-15,8,faster_rcnn,0.836913526058197,1,0.8642033934593201
22,22,-15,8,faster_rcnn,0.851462185382843,1,0.8978148698806763
23,23,-15,8,faster_rcnn,0.6662808656692505,1,0.8904521465301514
24,24,-15,8,faster_rcnn,0.525435209274292,1,0.8749797940254211
25,25,-15,8,faster_rcnn,0.5305386185646057,1,0.8684567213058472
26,26,-15,8,faster_rcnn,0.42145201563835144,1,0.8676816821098328
27,27,-15,8,faster_rcnn,0.4674094021320343,1,0.8586870431900024
28,28,-15,8,faster_rcnn,0.6585609912872314,1,0.869057834148407
29,29,-15,8,faster_rcnn,0.6043084859848022,1,0.8679978847503662
30,30,-15,8,faster_rcnn,0.4860498607158661,1,0.8836906552314758
31,31,-15,8,faster_rcnn,0.5988510847091675,1,0.9314919114112854
32,32,-15,8,faster_rcnn,0.4290808439254761,1,0.9272583723068237
33,33,-15,8,faster_rcnn,0.6534594297409058,1,0.9352433085441589
34,34,-15,8,faster_rcnn,0.6277271509170532,1,0.9437389969825745
35,35,-15,8,faster_rcnn,0.6674931049346924,1,0.9172542095184326
36,36,-15,8,faster_rcnn,0.7382405400276184,1,0.9220836758613586
37,37,-15,8,faster_rcnn,0.5873592495918274,1,0.8945027589797974
38,38,-15,8,faster_rcnn,0.6434168815612793,1,0.9253100752830505
39,39,-15,8,faster_rcnn,0.6169710755348206,1,0.9226438999176025
40,40,-15,8,faster_rcnn,0.5901191830635071,1,0.9046265482902527
41,41,-15,8,faster_rcnn,0.7853789925575256,1,0.9396663308143616
42,42,-15,8,faster_rcnn,0.838974118232727,1,0.9218011498451233
43,43,-15,8,faster_rcnn,0.7906383275985718,1,0.8746240735054016
44,44,-15,8,faster_rcnn,0.5683597326278687,1,0.8730965256690979
45,45,-15,8,faster_rcnn,0.38003644347190857,1,0.8664659261703491
46,46,-15,8,faster_rcnn,0.44464969635009766,2,0.9312517046928406
47,47,-15,8,faster_rcnn,0.4327775239944458,2,0.8863672614097595
48,48,-15,8,faster_rcnn,0.3460919260978699,1,0.9151914119720459
49,49,-15,8,faster_rcnn,0.3686193525791168,1,0.932762622833252
50,50,-15,8,faster_rcnn,0.20772486925125122,1,0.9158874750137329
51,51,-15,8,faster_rcnn,0.0971108078956604,1,0.8812113404273987
52,52,-15,8,faster_rcnn,0.05814799293875694,2,0.8570891618728638
53,53,-15,8,faster_rcnn,0.0795946940779686,1,0.3718411922454834
54,54,-15,8,faster_rcnn,0.11631201207637787,1,0.43907973170280457
55,55,-15,8,faster_rcnn,0.06387967616319656,1,0.5121650695800781
56,56,-15,8,faster_rcnn,0.0,0,0.0
57,57,-15,8,faster_rcnn,0.0,0,0.0
58,58,-15,8,faster_rcnn,0.2890538275241852,1,0.9277016520500183
59,59,-15,8,faster_rcnn,0.17723137140274048,2,0.8451458811759949
60,60,-15,8,faster_rcnn,0.1840432584285736,1,0.8673341274261475
61,61,-15,8,faster_rcnn,0.13520781695842743,1,0.8704491853713989
62,62,-15,8,faster_rcnn,0.0,0,0.0
63,63,-15,8,faster_rcnn,0.0,0,0.0
64,64,-15,8,faster_rcnn,0.0,0,0.0
65,65,-15,8,faster_rcnn,0.12536069750785828,1,0.9035444259643555
66,66,-15,8,faster_rcnn,0.07576816529035568,1,0.8925268054008484
67,67,-15,8,faster_rcnn,0.0,0,0.0
68,68,-15,8,faster_rcnn,0.0,0,0.0
69,69,-15,8,faster_rcnn,0.0,0,0.0
70,70,-15,8,faster_rcnn,0.0,0,0.0
71,71,-15,8,faster_rcnn,0.0,0,0.0
72,72,-15,8,faster_rcnn,0.07394035160541534,1,0.8513996601104736
73,73,-15,8,faster_rcnn,0.08007266372442245,1,0.8760112524032593
74,74,-15,8,faster_rcnn,0.12348173558712006,1,0.8950890898704529
75,75,-15,8,faster_rcnn,0.34555956721305847,1,0.9645234942436218
76,76,-15,8,faster_rcnn,0.4265092611312866,1,0.9449871182441711
77,77,-15,8,faster_rcnn,0.41365063190460205,1,0.9552207589149475
78,78,-15,8,faster_rcnn,0.37234756350517273,1,0.9763597249984741
79,79,-15,8,faster_rcnn,0.21268871426582336,1,0.9445509910583496
80,80,-15,8,faster_rcnn,0.0862594023346901,1,0.9539355635643005
81,81,-15,8,faster_rcnn,0.06426136940717697,1,0.9368592500686646
82,82,-15,8,faster_rcnn,0.07363484799861908,1,0.9169924259185791
83,83,-15,8,faster_rcnn,0.10212337225675583,1,0.914676308631897
84,84,-15,8,faster_rcnn,0.17024429142475128,1,0.9639247059822083
85,85,-15,8,faster_rcnn,0.23689034581184387,1,0.9154462814331055
86,86,-15,8,faster_rcnn,0.18822737038135529,1,0.9341944456100464
87,87,-15,8,faster_rcnn,0.32757699489593506,1,0.9431845545768738
88,88,-15,8,faster_rcnn,0.40209341049194336,1,0.8930596113204956
89,89,-15,8,faster_rcnn,0.5085598826408386,1,0.9265580773353577
90,90,-15,8,faster_rcnn,0.6119766235351562,1,0.930230438709259
91,91,-15,8,faster_rcnn,0.6940295696258545,1,0.9317727088928223
92,92,-15,8,faster_rcnn,0.5369468927383423,1,0.9337050318717957
93,93,-15,8,faster_rcnn,0.6869562864303589,1,0.9309391379356384
94,94,-15,8,faster_rcnn,0.6732137203216553,1,0.9294255971908569
95,95,-15,8,faster_rcnn,0.4018195867538452,1,0.940111517906189
96,96,-15,8,faster_rcnn,0.6907103061676025,1,0.900066077709198
97,97,-15,8,faster_rcnn,0.5326863527297974,1,0.8994194269180298
98,98,-15,8,faster_rcnn,0.2847287058830261,1,0.9449717998504639
99,99,-15,8,faster_rcnn,0.35819944739341736,1,0.8873401880264282
100,100,-15,8,faster_rcnn,0.5814499258995056,1,0.8818345665931702
101,101,-15,8,faster_rcnn,0.23178251087665558,1,0.864686906337738
102,102,-15,8,faster_rcnn,0.11669210344552994,1,0.8750669360160828
103,103,-15,8,faster_rcnn,0.2240104377269745,1,0.8783295750617981
104,104,-15,8,faster_rcnn,0.1013648733496666,1,0.9355334043502808
105,105,-15,8,faster_rcnn,0.11314743012189865,1,0.9492871165275574
106,106,-15,8,faster_rcnn,0.13804760575294495,1,0.9236512184143066
107,107,-15,8,faster_rcnn,0.1385299414396286,1,0.9389735460281372
108,108,-15,8,faster_rcnn,0.45439648628234863,1,0.8831622004508972
109,109,-15,8,faster_rcnn,0.5321482419967651,1,0.9428426027297974
110,110,-15,8,faster_rcnn,0.4702485203742981,1,0.9287598133087158
111,111,-15,8,faster_rcnn,0.24206815659999847,1,0.9395792484283447
112,112,-15,8,faster_rcnn,0.2622685432434082,1,0.951932966709137
113,113,-15,8,faster_rcnn,0.12496843189001083,1,0.8684726357460022
114,114,-15,8,faster_rcnn,0.2197095900774002,1,0.885867178440094
115,115,-15,8,faster_rcnn,0.14425618946552277,1,0.8745521306991577
116,116,-15,8,faster_rcnn,0.05122920498251915,1,0.8876163959503174
117,117,-15,8,faster_rcnn,0.08836549520492554,1,0.9459773898124695
118,118,-15,8,faster_rcnn,0.12677831947803497,1,0.9469274282455444
119,119,-15,8,faster_rcnn,0.434365451335907,1,0.9041741490364075
120,120,-15,8,faster_rcnn,0.31775784492492676,1,0.9057851433753967
121,121,-15,8,faster_rcnn,0.4492851793766022,1,0.9128828048706055
122,122,-15,8,faster_rcnn,0.42612531781196594,1,0.9218777418136597
123,123,-15,8,faster_rcnn,0.328649640083313,1,0.911857545375824
124,124,-15,8,faster_rcnn,0.18848277628421783,1,0.9231463074684143
125,125,-15,8,faster_rcnn,0.05692661553621292,1,0.9064903259277344
126,126,-15,8,faster_rcnn,0.21416214108467102,1,0.9449412226676941
127,127,-15,8,faster_rcnn,0.23354795575141907,1,0.9331011772155762
128,128,-15,8,faster_rcnn,0.0824088603258133,1,0.9506122469902039
129,129,-15,8,faster_rcnn,0.12421631813049316,2,0.9579592943191528
130,130,-15,8,faster_rcnn,0.3623354434967041,1,0.9623163342475891
131,131,-15,8,faster_rcnn,0.3928796052932739,1,0.9651048183441162
132,132,-15,8,faster_rcnn,0.2865026593208313,1,0.9854304194450378
133,133,-15,8,faster_rcnn,0.13986890017986298,1,0.968651533126831
134,134,-15,8,faster_rcnn,0.1865774542093277,1,0.9703383445739746
135,135,-15,8,faster_rcnn,0.39369189739227295,1,0.9803236722946167
136,136,-15,8,faster_rcnn,0.35597288608551025,1,0.9875579476356506
137,137,-15,8,faster_rcnn,0.18575526773929596,1,0.969761073589325
138,138,-15,8,faster_rcnn,0.1963956207036972,1,0.9437942504882812
139,139,-15,8,faster_rcnn,0.1131858080625534,1,0.9611511826515198
140,140,-15,8,faster_rcnn,0.12526680529117584,1,0.907738983631134
141,141,-15,8,faster_rcnn,0.0,0,0.0
142,142,-15,8,faster_rcnn,0.07970389723777771,1,0.8876107931137085
143,143,-15,8,faster_rcnn,0.0,0,0.0
144,144,-15,8,faster_rcnn,0.0,0,0.0
145,145,-15,8,faster_rcnn,0.0,0,0.0
146,146,-15,8,faster_rcnn,0.08819025754928589,1,0.9017266631126404
147,147,-15,8,faster_rcnn,0.1019802838563919,1,0.9109964370727539
148,148,-15,8,faster_rcnn,0.15631026029586792,1,0.8931810259819031
149,149,-15,8,faster_rcnn,0.1979580968618393,1,0.9019333720207214
150,150,-15,8,faster_rcnn,0.259085088968277,1,0.9296578764915466
151,151,-15,8,faster_rcnn,0.47180262207984924,1,0.9175198078155518
152,152,-15,8,faster_rcnn,0.3245380222797394,1,0.9463278651237488
153,153,-15,8,faster_rcnn,0.458316832780838,1,0.8247581720352173
154,154,-15,8,faster_rcnn,0.29102692008018494,1,0.815002977848053
155,155,-15,8,faster_rcnn,0.4879319369792938,1,0.9014256000518799
156,156,-15,8,faster_rcnn,0.6006025671958923,1,0.962159276008606
157,157,-15,8,faster_rcnn,0.6839508414268494,1,0.9323278665542603
158,158,-15,8,faster_rcnn,0.5602007508277893,1,0.9061437845230103
159,159,-15,8,faster_rcnn,0.6680700778961182,1,0.921931266784668
160,160,-15,8,faster_rcnn,0.7789083123207092,1,0.9026057124137878
161,161,-15,8,faster_rcnn,0.8560929298400879,1,0.9390869140625
162,162,-15,8,faster_rcnn,0.8609749674797058,1,0.9352228045463562
163,163,-15,8,faster_rcnn,0.7364943027496338,1,0.9418004751205444
164,164,-15,8,faster_rcnn,0.7644183039665222,1,0.8886018991470337
165,165,-15,8,faster_rcnn,0.6767555475234985,1,0.8951847553253174
166,166,-15,8,faster_rcnn,0.8824422359466553,1,0.8967710733413696
167,167,-15,8,faster_rcnn,0.9460921883583069,1,0.88563072681427
168,168,-15,8,faster_rcnn,0.887361466884613,1,0.8754681944847107
169,169,-15,8,faster_rcnn,0.8824580907821655,1,0.8739029169082642
170,170,-15,8,faster_rcnn,0.8712659478187561,1,0.8734282851219177
171,171,-15,8,faster_rcnn,0.8817892074584961,1,0.8817546963691711
172,172,-15,8,faster_rcnn,0.9261489510536194,1,0.8668400645256042
173,173,-15,8,faster_rcnn,0.9252920746803284,1,0.8734387755393982
174,174,-15,8,faster_rcnn,0.8735538125038147,1,0.881105363368988
175,175,-15,8,faster_rcnn,0.8276823163032532,1,0.8402639627456665
176,176,-15,8,faster_rcnn,0.7649720311164856,1,0.8387349247932434
177,177,-15,8,faster_rcnn,0.9061920642852783,1,0.8819162249565125
178,178,-15,8,faster_rcnn,0.913959264755249,1,0.9100792407989502
179,179,-15,8,faster_rcnn,0.9059832096099854,1,0.864333987236023
180,180,-15,8,faster_rcnn,0.9523976445198059,1,0.8700287342071533
181,181,-15,8,faster_rcnn,0.9748600125312805,1,0.8873434066772461
182,182,-15,8,faster_rcnn,0.9710350632667542,1,0.9105126857757568
183,183,-15,8,faster_rcnn,0.9688800573348999,1,0.922633171081543
184,184,-15,8,faster_rcnn,0.9371677041053772,1,0.9493787884712219
185,185,-15,8,faster_rcnn,0.8766208291053772,1,0.8938394784927368
186,186,-15,8,faster_rcnn,0.8320037722587585,1,0.9176481366157532
187,187,-15,8,faster_rcnn,0.8894523978233337,1,0.9088062644004822
188,188,-15,8,faster_rcnn,0.8485329151153564,1,0.9164904356002808
189,189,-15,8,faster_rcnn,0.7014880776405334,1,0.9334161877632141
190,190,-15,8,faster_rcnn,0.6560566425323486,1,0.9144118428230286
191,191,-15,8,faster_rcnn,0.618923008441925,1,0.9225749373435974
192,192,-15,8,faster_rcnn,0.780708909034729,1,0.9356587529182434
193,193,-15,8,faster_rcnn,0.7624399065971375,1,0.937504231929779
194,194,-15,8,faster_rcnn,0.8403465151786804,1,0.9342020750045776
195,195,-15,8,faster_rcnn,0.7966711521148682,1,0.9516437649726868
196,196,-15,8,faster_rcnn,0.9012614488601685,1,0.9576823115348816
197,197,-15,8,faster_rcnn,0.7650547623634338,1,0.9649616479873657
198,198,-15,8,faster_rcnn,0.7783960103988647,1,0.8842436671257019
199,199,-15,8,faster_rcnn,0.6318690180778503,1,0.9594032168388367
200,200,-15,8,faster_rcnn,0.8902655243873596,1,0.9372150897979736
201,201,-15,8,faster_rcnn,0.9427151083946228,1,0.9359344244003296
202,202,-15,8,faster_rcnn,0.9254622459411621,1,0.9404634237289429
203,203,-15,8,faster_rcnn,0.9747523665428162,1,0.9597362875938416
204,204,-15,8,faster_rcnn,0.9508448243141174,1,0.9695872664451599
205,205,-15,8,faster_rcnn,0.9525943994522095,1,0.9200855493545532
206,206,-15,8,faster_rcnn,0.9025335311889648,1,0.9287887811660767
207,207,-15,8,faster_rcnn,0.9537903666496277,1,0.9562164545059204
208,208,-15,8,faster_rcnn,0.958389401435852,1,0.9530465602874756
209,209,-15,8,faster_rcnn,0.9787388443946838,1,0.959968090057373
210,210,-15,8,faster_rcnn,0.9705542325973511,1,0.9747402667999268
211,211,-15,8,faster_rcnn,0.9732046127319336,1,0.9610410928726196
212,212,-15,8,faster_rcnn,0.982797384262085,1,0.9817155599594116
213,213,-15,8,faster_rcnn,0.9687321186065674,1,0.9682499766349792
214,214,-15,8,faster_rcnn,0.9734371304512024,1,0.9719783663749695
215,215,-15,8,faster_rcnn,0.9583276510238647,1,0.9746381640434265
216,216,-15,8,faster_rcnn,0.9631867408752441,1,0.9796679019927979
217,217,-15,8,faster_rcnn,0.9414645433425903,1,0.9815412759780884
218,218,-15,8,faster_rcnn,0.9353715181350708,1,0.9397589564323425
219,219,-15,8,faster_rcnn,0.9090504050254822,1,0.9781076908111572
220,220,-15,8,faster_rcnn,0.9092604517936707,1,0.953917920589447
221,221,-15,8,faster_rcnn,0.9257221221923828,1,0.9668455123901367
222,222,-15,8,faster_rcnn,0.9039896130561829,1,0.9746865630149841
223,223,-15,8,faster_rcnn,0.5807294845581055,1,0.9872813820838928
224,224,-15,8,faster_rcnn,0.1251981407403946,1,0.9359468221664429
225,225,-15,8,faster_rcnn,0.2985684275627136,1,0.956881582736969
226,226,-15,8,faster_rcnn,0.47819262742996216,1,0.972314715385437
227,227,-15,8,faster_rcnn,0.3105560839176178,1,0.9586789608001709
228,228,-15,8,faster_rcnn,0.16646499931812286,1,0.9550157189369202
229,229,-15,8,faster_rcnn,0.2923583984375,1,0.9480186104774475
230,230,-15,8,faster_rcnn,0.17126981914043427,1,0.941957950592041
231,231,-15,8,faster_rcnn,0.3026700019836426,1,0.9410784840583801
232,232,-15,8,faster_rcnn,0.12794923782348633,1,0.9620768427848816
233,233,-15,8,faster_rcnn,0.22467999160289764,1,0.9706381559371948
234,234,-15,8,faster_rcnn,0.11034753173589706,1,0.9720645546913147
235,235,-15,8,faster_rcnn,0.09338587522506714,1,0.9229267835617065
236,236,-15,8,faster_rcnn,0.08775361627340317,2,0.9696012735366821
237,237,-15,8,faster_rcnn,0.20576590299606323,2,0.32151123881340027
238,238,-15,8,faster_rcnn,0.1451168954372406,2,0.9508845806121826
239,239,-15,8,faster_rcnn,0.07887765020132065,1,0.9652006030082703
240,240,-15,8,faster_rcnn,0.06156407296657562,1,0.8040385842323303
241,241,-15,8,faster_rcnn,0.15360119938850403,1,0.8780810832977295
242,242,-15,8,faster_rcnn,0.057650670409202576,1,0.9397960901260376
243,243,-15,8,faster_rcnn,0.14808088541030884,1,0.953095555305481
244,244,-15,8,faster_rcnn,0.0,0,0.0
245,245,-15,8,faster_rcnn,0.0,0,0.0
246,246,-15,8,faster_rcnn,0.0,0,0.0
247,247,-15,8,faster_rcnn,0.0,0,0.0
248,248,-15,8,faster_rcnn,0.0,0,0.0
249,249,-15,8,faster_rcnn,0.0,0,0.0
250,250,-15,8,faster_rcnn,0.07816006988286972,1,0.9183782339096069
251,251,-15,8,faster_rcnn,0.16406750679016113,1,0.9452977180480957
252,252,-15,8,faster_rcnn,0.05577801913022995,1,0.9268790483474731
253,253,-15,8,faster_rcnn,0.05218330770730972,1,0.9442602396011353
254,254,-15,8,faster_rcnn,0.08051128685474396,1,0.9438261389732361
255,255,-15,8,faster_rcnn,0.21854840219020844,1,0.9461496472358704
256,256,-15,8,faster_rcnn,0.27322280406951904,1,0.9594133496284485
257,257,-15,8,faster_rcnn,0.10405068844556808,1,0.9365065097808838
258,258,-15,8,faster_rcnn,0.30834394693374634,1,0.9617910385131836
259,259,-15,8,faster_rcnn,0.15364502370357513,1,0.9234813451766968
260,260,-15,8,faster_rcnn,0.14942824840545654,1,0.9438928365707397
261,261,-15,8,faster_rcnn,0.22904609143733978,1,0.9415634870529175
262,262,-15,8,faster_rcnn,0.371796190738678,1,0.9575614333152771
263,263,-15,8,faster_rcnn,0.3744395971298218,1,0.954731285572052
264,264,-15,8,faster_rcnn,0.23695534467697144,1,0.9667559862136841
265,265,-15,8,faster_rcnn,0.12167415022850037,1,0.9025747776031494
266,266,-15,8,faster_rcnn,0.13919156789779663,1,0.9605969786643982
267,267,-15,8,faster_rcnn,0.0838063433766365,1,0.4263754189014435
268,268,-15,8,faster_rcnn,0.07056275010108948,2,0.4613078832626343
269,269,-15,8,faster_rcnn,0.058012403547763824,1,0.45857638120651245
270,270,-15,8,faster_rcnn,0.11273675411939621,2,0.8232953548431396
271,271,-15,8,faster_rcnn,0.11580066382884979,2,0.8250980377197266
272,272,-15,8,faster_rcnn,0.20393724739551544,1,0.8935933709144592
273,273,-15,8,faster_rcnn,0.2802240550518036,2,0.9334338307380676
274,274,-15,8,faster_rcnn,0.1324787586927414,1,0.8007868528366089
275,275,-15,8,faster_rcnn,0.15404440462589264,1,0.9371811151504517
276,276,-15,8,faster_rcnn,0.13703998923301697,1,0.921186089515686
277,277,-15,8,faster_rcnn,0.06197502836585045,1,0.9767037034034729
278,278,-15,8,faster_rcnn,0.0,0,0.0
279,279,-15,8,faster_rcnn,0.1000814139842987,1,0.9203187823295593
280,280,-15,8,faster_rcnn,0.14960451424121857,1,0.934688150882721
281,281,-15,8,faster_rcnn,0.20207040011882782,1,0.9540436863899231
282,282,-15,8,faster_rcnn,0.13334284722805023,1,0.9350057244300842
283,283,-15,8,faster_rcnn,0.17405922710895538,1,0.9322810173034668
284,284,-15,8,faster_rcnn,0.41933169960975647,1,0.9572039246559143
285,285,-15,8,faster_rcnn,0.2579316794872284,1,0.9595078825950623
286,286,-15,8,faster_rcnn,0.47802507877349854,1,0.9776070713996887
287,287,-15,8,faster_rcnn,0.2994094491004944,1,0.9711958169937134
288,288,-15,8,faster_rcnn,0.1936524659395218,1,0.9489777684211731
289,289,-15,8,faster_rcnn,0.12575189769268036,1,0.9347090721130371
290,290,-15,8,faster_rcnn,0.1338849663734436,1,0.9367399215698242
291,291,-15,8,faster_rcnn,0.13043443858623505,1,0.9321539402008057
292,292,-15,8,faster_rcnn,0.06484393030405045,1,0.940742552280426
293,293,-15,8,faster_rcnn,0.0,0,0.0
294,294,-15,8,faster_rcnn,0.0,0,0.0
295,295,-15,8,faster_rcnn,0.0,0,0.0
296,296,-15,8,faster_rcnn,0.0,0,0.0
297,297,-15,8,faster_rcnn,0.0,0,0.0
298,298,-15,8,faster_rcnn,0.0,0,0.0
299,299,-15,8,faster_rcnn,0.0,0,0.0
300,300,-15,8,faster_rcnn,0.0,0,0.0
301,301,-15,8,faster_rcnn,0.0,0,0.0
302,302,-15,8,faster_rcnn,0.0,0,0.0
