viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,ssd,0.0842638686299324,1,0.8580143451690674
1,1,-15,8,ssd,0.08802921324968338,1,0.8840808272361755
2,2,-15,8,ssd,0.05409007519483566,1,0.9002865552902222
3,3,-15,8,ssd,0.15795013308525085,1,0.9256311655044556
4,4,-15,8,ssd,0.18550603091716766,1,0.8949982523918152
5,5,-15,8,ssd,0.18346895277500153,1,0.8949925303459167
6,6,-15,8,ssd,0.057433970272541046,1,0.9132903218269348
7,7,-15,8,ssd,0.0855330303311348,1,0.9268115162849426
8,8,-15,8,ssd,0.07345975935459137,1,0.888493537902832
9,9,-15,8,ssd,0.07809746265411377,1,0.8913156986236572
10,10,-15,8,ssd,0.10671532154083252,1,0.8920006155967712
11,11,-15,8,ssd,0.09733179956674576,1,0.9045877456665039
12,12,-15,8,ssd,0.10889548063278198,1,0.8708015084266663
13,13,-15,8,ssd,0.1424504667520523,1,0.865747332572937
14,14,-15,8,ssd,0.0981217473745346,1,0.8519953489303589
15,15,-15,8,ssd,0.11629126220941544,1,0.8474644422531128
16,16,-15,8,ssd,0.08509618788957596,1,0.8895787596702576
17,17,-15,8,ssd,0.07619008421897888,2,0.8267703652381897
18,18,-15,8,ssd,0.08813677728176117,1,0.8633376955986023
19,19,-15,8,ssd,0.05750279873609543,1,0.8543660640716553
20,20,-15,8,ssd,0.049896977841854095,1,0.8385328054428101
21,21,-15,8,ssd,0.0,0,0.0
22,22,-15,8,ssd,0.0,0,0.0
23,23,-15,8,ssd,0.0,0,0.0
24,24,-15,8,ssd,0.0,0,0.0
25,25,-15,8,ssd,0.0,0,0.0
26,26,-15,8,ssd,0.0,0,0.0
27,27,-15,8,ssd,0.0,0,0.0
28,28,-15,8,ssd,0.0,0,0.0
29,29,-15,8,ssd,0.0,0,0.0
30,30,-15,8,ssd,0.0,0,0.0
31,31,-15,8,ssd,0.0,0,0.0
32,32,-15,8,ssd,0.0,0,0.0
33,33,-15,8,ssd,0.04693035036325455,1,0.6733431220054626
34,34,-15,8,ssd,0.0,0,0.0
35,35,-15,8,ssd,0.04873517528176308,1,0.6815822720527649
36,36,-15,8,ssd,0.0463436096906662,1,0.7216969728469849
37,37,-15,8,ssd,0.0,0,0.0
38,38,-15,8,ssd,0.05924928933382034,1,0.725324273109436
39,39,-15,8,ssd,0.0,0,0.0
40,40,-15,8,ssd,0.06448514759540558,1,0.7114787101745605
41,41,-15,8,ssd,0.0,0,0.0
42,42,-15,8,ssd,0.0,0,0.0
43,43,-15,8,ssd,0.0,0,0.0
44,44,-15,8,ssd,0.0,0,0.0
45,45,-15,8,ssd,0.06034387648105621,1,0.690855085849762
46,46,-15,8,ssd,0.08813416212797165,1,0.7294678092002869
47,47,-15,8,ssd,0.0609489344060421,1,0.7560432553291321
48,48,-15,8,ssd,0.05611377954483032,1,0.7384870052337646
49,49,-15,8,ssd,0.10891041159629822,1,0.7982261180877686
50,50,-15,8,ssd,0.1609824299812317,1,0.8288831114768982
51,51,-15,8,ssd,0.18092375993728638,1,0.8912003636360168
52,52,-15,8,ssd,0.15676207840442657,1,0.8870121836662292
53,53,-15,8,ssd,0.16327092051506042,1,0.8584959506988525
54,54,-15,8,ssd,0.1645132303237915,1,0.87471604347229
55,55,-15,8,ssd,0.10260279476642609,1,0.8326111435890198
56,56,-15,8,ssd,0.0537588968873024,1,0.8541458249092102
57,57,-15,8,ssd,0.0,0,0.0
58,58,-15,8,ssd,0.09656393527984619,1,0.8457320928573608
59,59,-15,8,ssd,0.062025345861911774,1,0.8962311744689941
60,60,-15,8,ssd,0.0820029228925705,1,0.9247372150421143
61,61,-15,8,ssd,0.13840241730213165,1,0.8833141326904297
62,62,-15,8,ssd,0.15478457510471344,1,0.9338720440864563
63,63,-15,8,ssd,0.15790678560733795,1,0.9292332530021667
64,64,-15,8,ssd,0.13354533910751343,1,0.9201828241348267
65,65,-15,8,ssd,0.16043050587177277,1,0.9163815379142761
66,66,-15,8,ssd,0.2080509066581726,1,0.9118903279304504
67,67,-15,8,ssd,0.2158963531255722,1,0.9169870018959045
68,68,-15,8,ssd,0.15250690281391144,1,0.9177510142326355
69,69,-15,8,ssd,0.15084299445152283,1,0.9592547416687012
70,70,-15,8,ssd,0.08428061008453369,1,0.9226987957954407
71,71,-15,8,ssd,0.16402308642864227,1,0.9686229825019836
72,72,-15,8,ssd,0.16055694222450256,1,0.9538500905036926
73,73,-15,8,ssd,0.16152505576610565,3,0.9355343580245972
74,74,-15,8,ssd,0.15723948180675507,2,0.8846622705459595
75,75,-15,8,ssd,0.053135793656110764,1,0.9049461483955383
76,76,-15,8,ssd,0.07907043397426605,1,0.941511869430542
77,77,-15,8,ssd,0.16170084476470947,1,0.9399315714836121
78,78,-15,8,ssd,0.32443058490753174,3,0.9327191114425659
79,79,-15,8,ssd,0.43774107098579407,5,0.9098249077796936
80,80,-15,8,ssd,0.41622790694236755,4,0.9193676710128784
81,81,-15,8,ssd,0.5396270155906677,8,0.9334464073181152
82,82,-15,8,ssd,0.48229554295539856,5,0.937422513961792
83,83,-15,8,ssd,0.5220624208450317,6,0.9152891635894775
84,84,-15,8,ssd,0.39696645736694336,1,0.9001542329788208
85,85,-15,8,ssd,0.3243587613105774,1,0.8895020484924316
86,86,-15,8,ssd,0.19088661670684814,1,0.8640265464782715
87,87,-15,8,ssd,0.27929848432540894,1,0.8775393962860107
88,88,-15,8,ssd,0.27795884013175964,1,0.8756535053253174
89,89,-15,8,ssd,0.3393595814704895,1,0.8844873309135437
90,90,-15,8,ssd,0.3343028128147125,1,0.8903809785842896
91,91,-15,8,ssd,0.2736987769603729,1,0.8899256587028503
92,92,-15,8,ssd,0.16559548676013947,1,0.8924281597137451
93,93,-15,8,ssd,0.24468261003494263,1,0.8745269775390625
94,94,-15,8,ssd,0.18114599585533142,1,0.8714421987533569
95,95,-15,8,ssd,0.19165198504924774,1,0.9084724187850952
96,96,-15,8,ssd,0.18411117792129517,1,0.9010657668113708
97,97,-15,8,ssd,0.11519886553287506,1,0.911898672580719
98,98,-15,8,ssd,0.16759799420833588,1,0.9123044013977051
99,99,-15,8,ssd,0.08581335842609406,1,0.9104360938072205
100,100,-15,8,ssd,0.11045043915510178,1,0.9179229736328125
101,101,-15,8,ssd,0.12439873069524765,1,0.9407851696014404
102,102,-15,8,ssd,0.10047689825296402,1,0.943684995174408
103,103,-15,8,ssd,0.10401634126901627,1,0.9421043395996094
104,104,-15,8,ssd,0.063139908015728,1,0.9573411345481873
105,105,-15,8,ssd,0.0,0,0.0
106,106,-15,8,ssd,0.05884808674454689,1,0.9458001255989075
107,107,-15,8,ssd,0.1276116818189621,2,0.9492019414901733
108,108,-15,8,ssd,0.14892622828483582,3,0.95340895652771
109,109,-15,8,ssd,0.10184130072593689,1,0.9208488464355469
110,110,-15,8,ssd,0.10601640492677689,4,0.9414364099502563
111,111,-15,8,ssd,0.11473298817873001,6,0.9143877029418945
112,112,-15,8,ssd,0.12363684922456741,4,0.9209076166152954
113,113,-15,8,ssd,0.11810935288667679,2,0.9374194145202637
114,114,-15,8,ssd,0.12898249924182892,1,0.9284712076187134
115,115,-15,8,ssd,0.08853521198034286,1,0.9193984866142273
116,116,-15,8,ssd,0.09088394790887833,1,0.9220484495162964
117,117,-15,8,ssd,0.12272407114505768,2,0.9307394027709961
118,118,-15,8,ssd,0.09624850004911423,1,0.9337243437767029
119,119,-15,8,ssd,0.07382888346910477,1,0.9183052778244019
120,120,-15,8,ssd,0.08563067018985748,1,0.9124504327774048
121,121,-15,8,ssd,0.10579638183116913,3,0.9035700559616089
122,122,-15,8,ssd,0.1278952658176422,3,0.9003763198852539
123,123,-15,8,ssd,0.0875091478228569,1,0.9252949953079224
124,124,-15,8,ssd,0.10246174037456512,2,0.9113091826438904
125,125,-15,8,ssd,0.14182576537132263,2,0.8910331726074219
126,126,-15,8,ssd,0.0840553417801857,2,0.8767769932746887
127,127,-15,8,ssd,0.21177327632904053,4,0.8666343092918396
