viewpoint,yaw,pitch,distance,detector,max_conf,num_detections,iou
0,0,-15,8,yolov5m,0.0,0,0.0
1,1,-15,8,yolov5m,0.0,0,0.0
2,2,-15,8,yolov5m,0.0,0,0.0
3,3,-15,8,yolov5m,0.0,0,0.0
4,4,-15,8,yolov5m,0.0,0,0.0
5,5,-15,8,yolov5m,0.0,0,0.0
6,6,-15,8,yolov5m,0.0,0,0.0
7,7,-15,8,yolov5m,0.0,0,0.0
8,8,-15,8,yolov5m,0.0,0,0.0
9,9,-15,8,yolov5m,0.0,0,0.0
10,10,-15,8,yolov5m,0.0,0,0.0
11,11,-15,8,yolov5m,0.0,0,0.0
12,12,-15,8,yolov5m,0.0,0,0.0
13,13,-15,8,yolov5m,0.0,0,0.0
14,14,-15,8,yolov5m,0.0,0,0.0
15,15,-15,8,yolov5m,0.0,0,0.0
16,16,-15,8,yolov5m,0.0,0,0.0
17,17,-15,8,yolov5m,0.0,0,0.0
18,18,-15,8,yolov5m,0.0,0,0.0
19,19,-15,8,yolov5m,0.0,0,0.0
20,20,-15,8,yolov5m,0.0,0,0.0
21,21,-15,8,yolov5m,0.0,0,0.0
22,22,-15,8,yolov5m,0.0,0,0.0
23,23,-15,8,yolov5m,0.0,0,0.0
24,24,-15,8,yolov5m,0.0,0,0.0
25,25,-15,8,yolov5m,0.0,0,0.0
26,26,-15,8,yolov5m,0.0,0,0.0
27,27,-15,8,yolov5m,0.0,0,0.0
28,28,-15,8,yolov5m,0.0,0,0.0
29,29,-15,8,yolov5m,0.0,0,0.0
30,30,-15,8,yolov5m,0.0,0,0.0
31,31,-15,8,yolov5m,0.0,0,0.0
32,32,-15,8,yolov5m,0.0,0,0.0
33,33,-15,8,yolov5m,0.0,0,0.0
34,34,-15,8,yolov5m,0.0,0,0.0
35,35,-15,8,yolov5m,0.0,0,0.0
36,36,-15,8,yolov5m,0.0,0,0.0
37,37,-15,8,yolov5m,0.0,0,0.0
38,38,-15,8,yolov5m,0.0,0,0.0
39,39,-15,8,yolov5m,0.0,0,0.0
40,40,-15,8,yolov5m,0.0,0,0.0
41,41,-15,8,yolov5m,0.3328441083431244,1,0.9719054698944092
42,42,-15,8,yolov5m,0.0,0,0.0
43,43,-15,8,yolov5m,0.42248475551605225,1,0.9711184501647949
44,44,-15,8,yolov5m,0.3357309401035309,1,0.9516804218292236
45,45,-15,8,yolov5m,0.0,0,0.0
46,46,-15,8,yolov5m,0.0,0,0.0
47,47,-15,8,yolov5m,0.0,0,0.0
48,48,-15,8,yolov5m,0.0,0,0.0
49,49,-15,8,yolov5m,0.0,0,0.0
50,50,-15,8,yolov5m,0.0,0,0.0
51,51,-15,8,yolov5m,0.0,0,0.0
52,52,-15,8,yolov5m,0.0,0,0.0
53,53,-15,8,yolov5m,0.0,0,0.0
54,54,-15,8,yolov5m,0.31731709837913513,1,0.9580649137496948
55,55,-15,8,yolov5m,0.0,0,0.0
